================================================================================
CHUNK 2: SYMBOL COUNTER SWEEPS
================================================================================

======================================== ACC (178 gaps) ========================================

--- ACC: Each sa_* counter as rate gate (threshold=130) ---
     counter    gate   caught     bet%    mb/hit    lift
      sa_acc    0.15   59/178   12.55%      38.4    2.64x
      sa_acc    0.16   59/178   12.55%      38.4    2.64x
      sa_acc    0.17   59/178   12.55%      38.4    2.64x
      sa_acc    0.18   59/178   12.55%      38.4    2.64x
      sa_acc    0.19   59/178   12.55%      38.4    2.64x
      sa_acc    0.20   59/178   12.54%      38.4    2.64x
      sa_acc    0.21   59/178   12.47%      38.2    2.66x
      sa_acc    0.22   59/178   12.46%      38.1    2.66x
      sa_acc    0.23   59/178   12.23%      37.4    2.71x
      sa_acc    0.24   58/178   11.85%      36.9    2.75x
      sa_acc    0.25   57/178   11.22%      35.5    2.85x
      sa_acc    0.26   55/178   10.11%      33.2    3.06x
      sa_acc    0.27   51/178    8.65%      30.6    3.31x
      sa_acc    0.28   47/178    6.20%      23.8    4.26x
      sa_acc    0.29   39/178    4.24%      19.6    5.17x
      sa_acc    0.30   31/178    2.93%      17.1    5.93x
      sa_acc    0.31   20/178    1.56%      14.1    7.20x
      sa_acc    0.32   14/178    0.85%      10.9    9.28x
      sa_acc    0.33   10/178    0.54%       9.8   10.35x
      sa_acc    0.34    5/178    0.40%      14.4    7.05x
      sa_spn    0.15   59/178   12.45%      38.1    2.66x
      sa_spn    0.16   59/178   12.42%      38.0    2.67x
      sa_spn    0.17   58/178   12.40%      38.6    2.63x
      sa_spn    0.18   57/178   12.31%      39.0    2.60x
      sa_spn    0.19   56/178   12.16%      39.2    2.59x
      sa_spn    0.20   56/178   11.86%      38.2    2.65x
      sa_spn    0.21   53/178   11.48%      39.1    2.59x
      sa_spn    0.22   53/178   10.70%      36.5    2.78x
      sa_spn    0.23   50/178    9.58%      34.6    2.93x
      sa_spn    0.24   41/178    8.43%      37.1    2.73x
      sa_spn    0.25   32/178    7.29%      41.2    2.47x
      sa_spn    0.26   23/178    5.73%      45.0    2.26x
      sa_spn    0.27   17/178    4.01%      42.6    2.38x
      sa_spn    0.28    8/178    2.40%      54.1    1.87x
      sa_spn    0.29    6/178    1.42%      42.7    2.38x
      sa_atk    0.15   59/178   12.55%      38.4    2.64x
      sa_atk    0.16   59/178   12.55%      38.4    2.64x
      sa_atk    0.17   59/178   12.55%      38.4    2.64x
      sa_atk    0.18   59/178   12.55%      38.4    2.64x
      sa_atk    0.19   59/178   12.55%      38.4    2.64x
      sa_atk    0.20   59/178   12.55%      38.4    2.64x
      sa_atk    0.21   59/178   12.55%      38.4    2.64x
      sa_atk    0.22   59/178   12.55%      38.4    2.64x
      sa_atk    0.23   59/178   12.55%      38.4    2.64x
      sa_atk    0.24   59/178   12.55%      38.4    2.64x
      sa_atk    0.25   59/178   12.55%      38.4    2.64x
      sa_atk    0.26   59/178   12.55%      38.4    2.64x
      sa_atk    0.27   59/178   12.55%      38.4    2.64x
      sa_atk    0.28   59/178   12.55%      38.4    2.64x
      sa_atk    0.29   59/178   12.55%      38.4    2.64x
      sa_atk    0.30   59/178   12.55%      38.4    2.64x
      sa_atk    0.31   59/178   12.55%      38.4    2.64x
      sa_atk    0.32   59/178   12.55%      38.4    2.64x
      sa_atk    0.33   59/178   12.55%      38.4    2.64x
      sa_atk    0.34   59/178   12.55%      38.4    2.64x
      sa_atk    0.35   59/178   12.55%      38.4    2.64x
      sa_atk    0.36   59/178   12.55%      38.4    2.64x
      sa_atk    0.37   59/178   12.49%      38.2    2.65x
      sa_atk    0.38   59/178   12.40%      38.0    2.67x
      sa_atk    0.39   58/178   12.30%      38.3    2.65x
      sa_atk    0.40   57/178   12.11%      38.4    2.64x
