================================================================================
CHUNK 3: S/M/L MEGA SWEEP
================================================================================
ACC gaps with known prev: 175 / 178
Baseline (130/0.30) on gaps-with-prev: caught= 31/175  bet= 2.96%  mb/hit=  17.1  lift= 5.99x

--- Part A: Flat configs on gaps-with-prev (for fair comparison) ---
              config   caught     bet%    mb/hit    lift
       flat_150/0.32    7/175    0.26%       6.7   15.24x
       flat_130/0.32   14/175    0.85%      10.9    9.36x
       flat_140/0.32    8/175    0.51%      11.5    8.90x
       flat_120/0.32   16/175    1.26%      14.1    7.25x
       flat_130/0.34    5/175    0.40%      14.4    7.11x
       flat_120/0.34    6/175    0.52%      15.5    6.60x
       flat_110/0.34    9/175    0.78%      15.6    6.58x
       flat_110/0.32   20/175    1.80%      16.1    6.36x
       flat_150/0.30   18/175    1.69%      16.8    6.08x
       flat_130/0.30   31/175    2.96%      17.1    5.99x
       flat_100/0.34   12/175    1.16%      17.3    5.90x
       flat_140/0.30   20/175    2.19%      19.6    5.21x
       flat_100/0.32   24/175    2.66%      19.8    5.16x
       flat_120/0.30   37/175    4.14%      20.1    5.10x
       flat_180/0.30    7/175    0.87%      22.3    4.59x
       flat_110/0.30   43/175    5.48%      22.8    4.48x
       flat_160/0.30   10/175    1.28%      22.9    4.47x
       flat_170/0.30    8/175    1.03%      23.0    4.45x
        flat_90/0.34   12/175    1.55%      23.1    4.43x
       flat_130/0.28   47/175    6.25%      23.8    4.30x

--- Part B: S/M/L sweep (boundaries x thresholds x gate) ---
Total configs evaluated: 341,220
Configs with >= 5 catches: 322,544

--- Top 80 by lift ---
  S<  L>=    t_S    t_M    t_L  gate   caught     bet%    mb/hit    lift
  50  130    100    160    100  0.34    5/175    0.04%       1.6   63.96x
  50  130    100    180    100  0.34    5/175    0.04%       1.6   63.96x
  50  140    100    160    100  0.34    5/175    0.04%       1.6   63.96x
  50  140    100    180    100  0.34    5/175    0.04%       1.6   63.96x
  50  130    150    180    130  0.32    5/175    0.06%       2.2   46.52x
  50  140    150    180    130  0.32    5/175    0.06%       2.2   46.52x
  60  130    150    160    100  0.34    5/175    0.06%       2.2   46.52x
  60  130    150    180    100  0.34    5/175    0.06%       2.2   46.52x
  60  140    150    160    100  0.34    5/175    0.06%       2.2   46.52x
  60  140    150    180    100  0.34    5/175    0.06%       2.2   46.52x
  70  130    150    160    100  0.34    5/175    0.06%       2.2   46.52x
  70  130    150    180    100  0.34    5/175    0.06%       2.2   46.52x
  70  140    150    160    100  0.34    5/175    0.06%       2.2   46.52x
  70  140    150    180    100  0.34    5/175    0.06%       2.2   46.52x
  80  130    150    160    100  0.34    5/175    0.06%       2.2   46.52x
  80  130    150    180    100  0.34    5/175    0.06%       2.2   46.52x
  80  140    150    160    100  0.34    5/175    0.06%       2.2   46.52x
  80  140    150    180    100  0.34    5/175    0.06%       2.2   46.52x
  50  130    150    180    120  0.32    5/175    0.07%       2.4   42.64x
  50  140    150    180    120  0.32    5/175    0.07%       2.4   42.64x
  50  150    150    180    110  0.32    5/175    0.07%       2.6   39.36x
  50  160    150    180    110  0.32    5/175    0.07%       2.6   39.36x
  50  170    150    180    110  0.32    5/175    0.07%       2.6   39.36x
  50  120    150    180    130  0.32    8/175    0.12%       2.6   38.99x
  60  130    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  60  140    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  70  130    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  70  140    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  80  130    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  80  140    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  50  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
  60  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
  70  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
  80  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
  90  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
 100  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
  50  130    150    160    130  0.32    5/175    0.08%       2.8   36.55x
  50  140    150    160    130  0.32    5/175    0.08%       2.8   36.55x
  60  130    150    180    120  0.32    6/175    0.09%       2.8   36.12x
  60  140    150    180    120  0.32    6/175    0.09%       2.8   36.12x
  70  130    150    180    120  0.32    6/175    0.09%       2.8   36.12x
  70  140    150    180    120  0.32    6/175    0.09%       2.8   36.12x
  80  130    150    180    120  0.32    6/175    0.09%       2.8   36.12x
  80  140    150    180    120  0.32    6/175    0.09%       2.8   36.12x
  60  120    150    180    130  0.32    9/175    0.15%       2.9   35.42x
  70  120    150    180    130  0.32    9/175    0.15%       2.9   35.42x
  80  120    150    180    130  0.32    9/175    0.15%       2.9   35.42x
  50  120    150    160    130  0.32    8/175    0.13%       3.0   34.11x
  50  120    180    180    130  0.32    6/175    0.10%       3.0   34.11x
  50  120   SKIP    180    130  0.32    6/175    0.10%       3.0   34.11x
  50  130    150    160    120  0.32    5/175    0.08%       3.0   34.11x
  50  130     80    160    100  0.34    6/175    0.10%       3.0   34.11x
  50  130     80    180    100  0.34    6/175    0.10%       3.0   34.11x
  50  140    150    160    120  0.32    5/175    0.08%       3.0   34.11x
  50  140     80    160    100  0.34    6/175    0.10%       3.0   34.11x
  50  140     80    180    100  0.34    6/175    0.10%       3.0   34.11x
  60  120    150    180    140  0.32    5/175    0.08%       3.0   34.11x
  60  120    180    180    130  0.32    6/175    0.10%       3.0   34.11x
  60  120   SKIP    180    130  0.32    6/175    0.10%       3.0   34.11x
  60  150    150    180    110  0.32    6/175    0.10%       3.0   34.11x
  60  150    150    180    120  0.32    5/175    0.08%       3.0   34.11x
  60  150    150    180    130  0.32    5/175    0.08%       3.0   34.11x
  60  160    150    180    110  0.32    6/175    0.10%       3.0   34.11x
  60  160    150    180    120  0.32    5/175    0.08%       3.0   34.11x
  60  160    150    180    130  0.32    5/175    0.08%       3.0   34.11x
  60  170    150    180    110  0.32    6/175    0.10%       3.0   34.11x
  60  170    150    180    120  0.32    5/175    0.08%       3.0   34.11x
  60  170    150    180    130  0.32    5/175    0.08%       3.0   34.11x
  70  120    150    180    140  0.32    5/175    0.08%       3.0   34.11x
  70  120    180    180    130  0.32    6/175    0.10%       3.0   34.11x
  70  120   SKIP    180    130  0.32    6/175    0.10%       3.0   34.11x
  70  150    150    180    110  0.32    6/175    0.10%       3.0   34.11x
