  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
==============================================================================================================
    0       1        (7,3,6)      -     -     -       
    1   65215        (5,1,0)   coin  coin  coin   3x  (triple: coin)
    2   65216        (3,3,8)  attac  coin  coin       
    3   65217        (4,4,1)  accum goldS goldS       
    4   65218        (1,1,1)   coin steal steal       
    5   65219        (3,3,8)   coin  coin  coin   3x  (triple: coin)
    6   65220        (5,8,8)  accum goldS goldS       
    7   65222        (7,6,4)   coin  coin  coin   3x  (triple: coin)
    8   65224        (0,0,0)  steal spins goldS       
    9   65226        (2,2,2)   coin  coin  coin   3x  (triple: coin)
   10   65227        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
   11   65228        (7,7,8)  attac attac attac   3x  (triple: attack)
   12   65230        (3,7,8)  attac  coin shiel       
   13   65232        (6,6,1)   coin steal spins       
   14   65233        (3,0,0)   coin spins spins       
   15   65236        (0,0,0)  attac attac goldS       
   16   65237        (5,1,0)  attac attac attac   3x  (triple: attack)
   17   65239        (2,2,2)  steal spins goldS       
   18   65240        (5,8,8)  shiel shiel shiel   3x  (triple: shield)
   19   65241        (3,4,0)  accum accum  coin       
   20   65242        (3,4,0)  attac steal goldS       
   21   65243        (2,2,2)  attac steal goldS       
   22   65244        (3,4,0)  shiel shiel shiel   3x  (triple: shield)
   23   65245        (3,7,8)  attac steal goldS       
   24   65247        (7,0,0)   coin steal steal       
   25   65248        (3,3,8)  attac attac goldS       
   26   65249        (6,6,6)  accum goldS goldS       >>> MAX BET (6,6,6) <<<
   27   65250        (2,1,0)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#1 SPN** (gap=27)
   28   65251        (5,1,5)  attac  coin shiel       
   29   65252        (3,3,8)   coin  coin  coin   3x  (triple: coin)
   30   65253        (4,4,1)  accum goldS goldS       
   31   65255        (1,8,8)   coin  coin  coin   3x  (triple: coin)
   32   65256        (7,3,8)  accum accum  coin       
   33   65257        (3,7,3)  accum goldS goldS       
   34   65258        (6,1,1)  goldS goldS goldS   3x  (triple: goldSack)
   35   65259        (3,7,8)   coin  coin spins       
   36   65263        (7,7,8)   coin shiel shiel       
   37   65266        (3,3,8)  attac attac goldS       
   38   65267        (6,1,1)  accum goldS goldS       
   39   65269        (2,4,1)  attac steal goldS       
   40   65271        (6,1,5)   coin  coin  coin   3x  (triple: coin)
   41   65272        (3,3,8)   coin  coin spins       
   42   65273        (6,4,5)  accum goldS goldS       
   43   65275        (7,4,0)   coin spins spins       
   44   65276        (4,4,4)  attac steal goldS       
   45   65277        (5,1,5)  steal steal steal   3x  (triple: steal)
   46   65278        (5,1,5)   coin  coin  coin   3x  (triple: coin)
   47   65279        (6,4,1)   coin  coin  coin   3x  (triple: coin)
   48   65281        (5,8,8)   coin spins spins       
   49   65282        (3,7,8)  accum accum  coin       
   50   65286        (4,4,4)   coin steal spins       
   51   65287        (6,5,5)  steal steal steal   3x  (triple: steal)
   52   65288        (7,7,8)   coin  coin spins       
   53   65291        (8,8,8)   coin steal steal       >>> MAX BET (8,8,8) <<<
                                                      --- gap 2: 26 spins ---
   54   65292        (3,7,8)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#2 ACC** (gap=26)
   55   65293        (3,7,7)  accum goldS goldS       
   56   65295        (3,4,0)  shiel goldS goldS       
   57   65296        (2,2,2)  attac steal goldS       
   58   65297        (7,3,8)  shiel shiel shiel   3x  (triple: shield)
   59   65298        (3,3,8)  accum goldS goldS       
   60   65299        (0,0,0)  accum goldS goldS       
   61   65300        (0,0,0)  attac attac attac   3x  (triple: attack)
   62   65301        (5,8,8)  attac attac attac   3x  (triple: attack)
   63   65302        (2,2,2)  accum accum  coin       
   64   65303        (7,3,7)  shiel shiel shiel   3x  (triple: shield)
   65   65306        (3,6,0)  attac attac goldS       
   66   65307        (3,7,3)  attac spins goldS       
   67   65309        (0,0,0)   coin spins spins       
   68   65312        (7,7,8)  attac steal goldS       
   69   65313        (4,4,4)  accum goldS goldS       
   70   65314        (0,0,0)  steal steal steal   3x  (triple: steal)
   71   65315        (7,7,3)  attac attac attac   3x  (triple: attack)
   72   65316        (6,1,1)  goldS goldS goldS   3x  (triple: goldSack)
   73   65317        (0,0,0)   coin  coin spins       
   74   65318        (1,5,1)  attac attac attac   3x  (triple: attack)
   75   65320        (6,5,5)   coin  coin spins       
   76   65321        (0,0,0)   coin  coin spins       
   77   65322        (0,0,0)  attac attac attac   3x  (triple: attack)
   78   65323        (7,0,0)  attac attac attac   3x  (triple: attack)
   79   65324        (6,4,1)  attac attac goldS       
   80   65328        (7,4,0)   coin  coin spins       
   81   65329        (3,7,8)  attac steal goldS       
   82   65330        (5,8,8)  accum goldS goldS       
   83   65332        (0,8,8)  attac steal goldS       
   84   65333        (3,4,0)  accum accum attac       
   85   65335        (7,7,8)   coin steal shiel       
   86   65336        (6,5,5)  accum goldS goldS       
   87   65341        (3,3,7)  attac steal goldS       
   88   65344        (0,0,0)  attac steal goldS       
   89   65346        (7,3,3)   coin  coin  coin   3x  (triple: coin)
   90   65347        (3,0,0)  goldS goldS goldS   3x  (triple: goldSack)
   91   65348        (3,4,0)  attac attac goldS       
   92   65349        (8,8,8)  attac steal goldS       >>> MAX BET (8,8,8) <<<
   93   65351        (3,3,8)   coin spins spins       <-- NEXT SPIN AFTER SIGNAL
   94   65352        (7,0,0)  accum goldS goldS       
   95   65356        (4,4,4)  attac attac goldS       
   96   65357        (7,7,8)  steal steal steal   3x  (triple: steal)
   97   65360        (0,0,0)  attac steal goldS       
   98   65361        (0,0,0)  attac attac attac   3x  (triple: attack)
   99   65362        (3,7,8)  attac attac attac   3x  (triple: attack)
  100   65363        (3,3,8)  accum goldS goldS       
  101   65364        (5,8,8)  accum goldS goldS       
  102   65365        (3,3,8)  accum accum  coin       
  103   65366        (1,1,1)  accum goldS goldS       
  104   65367        (3,4,0)   coin  coin  coin   3x  (triple: coin)
  105   65368        (7,4,0)  attac steal goldS       
  106   65369        (7,6,0)  attac steal goldS       
  107   65371        (3,4,0)   coin steal steal       
  108   65373        (3,4,0)  attac  coin shiel       
  109   65374        (7,7,8)  attac steal goldS       
  110   65375        (7,7,8)  accum goldS goldS       
  111   65376        (6,4,1)  accum goldS goldS       
  112   65377        (3,0,0)   coin steal spins       
  113   65379        (2,2,2)   coin  coin spins       
  114   65380        (7,4,0)  shiel shiel shiel   3x  (triple: shield)
  115   65382        (3,3,8)  attac  coin  coin       
  116   65383        (7,3,8)  accum goldS goldS       
  117   65384        (5,5,1)  accum goldS goldS       
  118   65386        (6,1,1)   coin spins spins       
  119   65388        (0,0,0)   coin  coin  coin   3x  (triple: coin)
  120   65389        (2,2,2)  attac attac attac   3x  (triple: attack)
  121   65391        (4,4,4)  attac  coin  coin       
  122   65392        (6,5,1)  steal steal steal   3x  (triple: steal)
  123   65393        (7,7,8)   coin  coin spins       
  124   65394        (3,3,8)  accum goldS goldS       
  125   65395        (0,0,0)  accum goldS goldS       
  126   65397        (2,2,2)   coin steal spins       
  127   65399        (6,4,5)   coin steal spins       
  128   65400        (6,5,1)   coin steal spins       
  129   65401        (7,7,8)   coin  coin spins       
  130   65404        (2,2,5)  shiel goldS goldS       
  131   65405        (4,4,1)   coin shiel shiel       
  132   65406        (1,8,8)   coin steal steal       
  133   65409        (5,8,8)  goldS goldS goldS   3x  (triple: goldSack)
  134   65411        (0,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  135   65414        (1,8,8)   coin  coin  coin   3x  (triple: coin)
  136   65415        (4,4,1)  accum accum  coin       
  137   65417        (3,4,0)  goldS goldS goldS   3x  (triple: goldSack)
  138   65418        (2,2,2)  attac steal goldS       
  139   65419        (7,3,8)  shiel shiel shiel   3x  (triple: shield)
  140   65421        (3,7,8)  attac  coin shiel       
  141   65422        (3,3,3)  accum goldS goldS       
  142   65423        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  143   65424        (3,3,7)  accum goldS goldS       
  144   65427        (4,4,4)  goldS goldS goldS   3x  (triple: goldSack)
  145   65430        (6,4,5)  attac steal goldS       
  146   65432        (6,6,6)  attac attac goldS       >>> MAX BET (6,6,6) <<<
                                                      --- gap 3: 92 spins ---
  147   65433        (3,3,8)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#3 SPN** (gap=92)
  148   65434        (5,8,8)  accum goldS goldS       
