seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
55072,2026-04-07 13:48:57,2026-04-07,0,1,-1,attack,9,1,1,0,0,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,attack,0,bonus_as10_gae1_no,700000,107,27,1298,1900,68.32,0
55073,2026-04-07 13:49:15,2026-04-07,0,2,-1,attack,9,1,2,1,0,0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1299,1900,68.37,0
55074,2026-04-07 13:49:16,2026-04-07,0,3,-1,attack,9,1,3,1,0,0.3333,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1299,1900,68.37,0
55075,2026-04-07 13:49:17,2026-04-07,0,4,-1,attack,9,1,4,1,0,0.2500,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1299,1900,68.37,0
55076,2026-04-07 13:49:18,2026-04-07,0,5,-1,attack,9,1,5,2,0,0.4000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55077,2026-04-07 13:49:19,2026-04-07,0,6,-1,shield,9,1,6,2,0,0.3333,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,shield,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55078,2026-04-07 13:49:20,2026-04-07,0,7,-1,shield,9,1,7,2,1,0.2857,0.1429,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55079,2026-04-07 13:49:21,2026-04-07,0,8,-1,shield,9,1,8,2,3,0.2500,0.3750,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55080,2026-04-07 13:49:21,2026-04-07,0,9,-1,shield,9,1,9,2,3,0.2222,0.3333,0.2222,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55081,2026-04-07 13:49:22,2026-04-07,0,10,-1,attack,9,1,10,2,3,0.2000,0.3000,-0.3000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,attack,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55082,2026-04-07 13:49:29,2026-04-07,0,11,-1,attack,9,1,11,2,4,0.1818,0.3636,-0.1515,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55083,2026-04-07 13:49:30,2026-04-07,0,12,-1,attack,9,1,12,2,5,0.1667,0.4167,-0.0833,-0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
55084,2026-04-07 13:49:31,2026-04-07,0,13,-1,attack,9,1,13,2,5,0.1538,0.3846,-0.2462,-0.1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_as10_gae1_no,700000,107,27,1300,1900,68.42,0
