i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
0,S0,147,,66,bonus_bs15_gae3_no,0,0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,101.5,101.5,103.0,103.0,47.0,,,,47.0,45.5,45.5,44.0,44.0
1,S0,132,147,66,bonus_bs15_gae3_no,147,1,147.0,147,1.47,0.47,47.0,0.0,,,,,147.0,86.7,131.5,45.5,44.0,55.9,86.4,59.0,88.5,-15.0,45.3,,,0.5,76.1,45.6,73.0,43.5
2,S0,29,132,66,bonus_bs15_gae3_no,279,2,139.5,139.5,2.79,0.79,79.0,0.0,279,,21,,139.5,91.7,113.4,76.1,73.0,25.4,76.3,30.0,78.9,-110.5,-62.7,8,,-84.4,3.6,-47.3,-1.0,-49.9
3,S0,11,29,66,bonus_bs15_gae3_no,308,3,102.7,132,3.08,0.08,8.0,-88.0,161,308,139,92,102.7,125.6,100.0,3.6,-1.0,97.8,100.3,104.0,103.3,-91.7,-114.6,-128,-81,-89.0,-86.8,-89.3,-93.0,-92.3
4,S0,55,11,66,bonus_bs15_gae3_no,319,4,79.8,80.5,3.19,-0.81,-81.0,-3.0,40,172,260,228,79.8,131.5,106.5,-86.8,-93.0,188.3,130.1,196.0,133.7,-24.8,-76.5,-205,-173,-51.5,-133.3,-75.1,-141.0,-78.7
5,S0,120,55,66,bonus_bs15_gae3_no,374,5,74.8,55,3.74,-1.26,-126.0,99.0,66,95,234,305,74.8,117.0,116.4,-133.3,-141.0,234.7,145.4,244.0,149.5,45.2,3.0,-114,-185,3.6,-114.7,-25.4,-124.0,-29.5
6,S0,135,120,70,,494,6,82.3,87.5,4.94,-1.06,-106.0,-31.0,175,186,125,214,82.3,95.6,117.3,-114.7,-124.0,216.2,139.3,227.0,143.9,52.7,39.4,10,-79,17.7,-81.2,-4.3,-92.0,-8.9
7,S0,125,135,70,,629,7,89.9,120,6.29,-0.71,-71.0,-211.0,255,310,45,90,89.9,90.7,113.3,-81.2,-92.0,182.7,128.3,195.0,133.4,35.1,34.3,80,35,11.7,-57.7,-3.3,-70.0,-8.4
8,S0,10,125,70,,754,8,94.2,122.5,7.54,-0.46,-46.0,-226.0,260,380,40,20,94.2,94.0,109.4,-57.7,-70.0,159.1,120.5,173.0,126.1,-84.2,-84.0,-30,-10,-99.4,-149.1,-110.5,-163.0,-116.1
9,S0,250,10,70,,764,9,84.9,120,7.64,-1.36,-136.0,-316.0,135,270,165,130,84.9,131.8,129.8,-149.1,-163.0,250.6,150.7,266.0,156.8,165.1,118.2,85,120,120.2,-0.6,99.3,-16.0,93.2
10,S0,57,250,70,,1014,10,101.4,122.5,10.14,0.14,14.0,-211.0,260,385,40,15,101.4,52.8,96.8,-0.6,-16.0,102.0,101.6,119.0,108.3,-44.4,4.2,17,42,-39.8,-45.0,-44.6,-62.0,-51.3
11,S0,13,57,70,,1071,11,97.4,120,10.71,-0.29,-29.0,-249.0,307,317,-7,83,97.4,116.3,106.9,-45.0,-62.0,146.5,116.3,165.0,123.5,-84.4,-103.3,20,-70,-93.9,-133.5,-103.3,-152.0,-110.5
12,S0,127,13,70,,1084,12,90.3,88.5,10.84,-1.16,-116.0,22.0,70,320,230,80,90.3,130.8,128.6,-133.5,-152.0,234.9,145.5,255.0,153.2,36.7,-3.8,-103,47,-1.6,-107.9,-18.5,-128.0,-26.2
13,S0,78,127,70,,1211,13,93.2,120,12.11,-0.89,-89.0,-349.0,140,197,160,203,93.2,93.3,122.5,-107.9,-128.0,209.4,137.1,231.0,145.2,-15.2,-15.3,-82,-125,-44.5,-131.4,-59.1,-153.0,-67.2
14,S0,59,78,70,,1289,14,92.1,99.0,12.89,-1.11,-111.0,-97.0,205,218,95,182,92.1,109.4,128.7,-131.4,-153.0,232.9,144.8,256.0,153.5,-33.1,-50.4,-36,-123,-69.7,-173.9,-85.8,-197.0,-94.5
15,S0,153,59,70,,1348,15,89.9,78,13.48,-1.52,-152.0,178.0,137,264,163,136,89.9,115.7,140.0,-173.9,-197.0,275.3,158.8,300.0,168.0,63.1,37.3,-10,17,13.0,-122.3,-5.8,-147.0,-15.0
16,S0,90,153,70,bonus_bs15_gae3_no,1501,16,93.8,99.0,15.01,-0.99,-99.0,-83.0,212,290,88,110,93.8,84.8,126.5,-122.3,-147.0,223.8,141.8,250.0,151.5,-3.8,5.2,2,-20,-36.5,-133.8,-51.8,-160.0,-61.5
17,S0,154,90,70,bonus_bs15_gae3_no,1591,17,93.6,90,15.91,-1.09,-109.0,61.0,243,302,57,98,93.6,105.5,129.6,-133.8,-160.0,235.2,145.6,263.0,155.8,60.4,48.5,97,56,24.4,-81.2,8.4,-109.0,-1.8
18,S0,54,154,70,bonus_bs15_gae3_no,1745,18,96.9,105.0,17.45,-0.55,-55.0,-145.0,244,397,56,3,96.9,84.4,115.1,-81.2,-109.0,182.7,128.3,212.0,139.0,-42.9,-30.4,-2,51,-61.1,-128.7,-74.3,-158.0,-85.0
