i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033
0,S0,82,,37,bonus_bs15_gae3_no,0,0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,-18.0,,,,-18.0
1,S0,146,82,37,,82,1,82.0,82,0.82,-0.18,-18.0,0.0,,,,,82.0,108.1,87.9,64.0,37.9,,,58.1
2,S0,21,146,37,bonus_bs15_gae3_no,228,2,114.0,114.0,2.28,0.28,28.0,0.0,228,,72,,114.0,87.1,104.8,-93.0,-66.1,-51,,-83.8
3,S0,59,21,37,bonus_bs15_gae3_no,249,3,83.0,82,2.49,-0.51,-51.0,3.0,167,249,133,151,83.0,128.2,99.8,-24.0,-69.2,-74,-92,-40.8
4,S0,149,59,37,bonus_bs15_gae3_no,308,4,77.0,70.5,3.08,-0.92,-92.0,26.0,80,226,220,174,77.0,115.7,107.4,72.0,33.3,-71,-25,41.6
5,S0,46,149,37,bonus_bs15_gae3_no,457,5,91.4,82,4.57,-0.43,-43.0,47.0,208,229,92,171,91.4,86.1,105.6,-45.4,-40.1,-46,-125,-59.6
6,S0,87,46,37,bonus_bs15_gae3_no,503,6,83.8,70.5,5.03,-0.97,-97.0,80.0,195,254,105,146,83.8,120.0,115.8,3.2,-33.0,-18,-59,-28.8
7,S0,151,87,37,bonus_bs15_gae3_no,590,7,84.3,82,5.9,-1.1,-110.0,16.0,133,282,167,118,84.3,106.5,120.6,66.7,44.5,-16,33,30.4
8,S0,93,151,37,bonus_bs15_gae3_no,741,8,92.6,84.5,7.41,-0.59,-59.0,65.0,238,284,62,116,92.6,85.4,112.1,0.4,7.6,31,-23,-19.1
9,S0,49,93,37,bonus_bs15_gae3_no,834,9,92.7,87,8.34,-0.66,-66.0,51.0,244,331,56,69,92.7,104.5,114.4,-43.7,-55.5,-7,-20,-65.4
10,S0,129,49,37,bonus_bs15_gae3_no,883,10,88.3,84.5,8.83,-1.17,-117.0,38.0,142,293,158,107,88.3,119.0,126.9,40.7,10.0,-29,22,2.1
11,S0,136,129,37,bonus_bs15_gae3_no,1012,11,92.0,87,10.12,-0.88,-88.0,55.0,178,271,122,129,92.0,92.7,121.0,44.0,43.3,14,7,15.0
12,S0,19,136,37,bonus_bs15_gae3_no,1148,12,95.7,90.0,11.48,-0.52,-52.0,68.0,265,314,35,86,95.7,90.4,112.8,-76.7,-71.4,-16,-67,-93.8
13,S0,132,19,37,bonus_bs15_gae3_no,1167,13,89.8,87,11.67,-1.33,-133.0,36.0,155,284,145,116,89.8,128.8,133.7,42.2,3.2,-13,16,-1.7
14,S0,71,132,37,bonus_bs15_gae3_no,1299,14,92.8,90.0,12.99,-1.01,-101.0,39.0,151,287,149,113,92.8,91.7,126.1,-21.8,-20.7,-78,-42,-55.1
15,S0,136,71,37,bonus_bs15_gae3_no,1370,15,91.3,87,13.7,-1.3,-130.0,65.0,203,222,97,178,91.3,111.7,134.2,44.7,24.3,39,-42,1.8
16,S0,68,136,37,bonus_bs15_gae3_no,1506,16,94.1,90.0,15.06,-0.94,-94.0,66.0,207,339,93,61,94.1,90.4,125.1,-26.1,-22.4,-25,7,-57.1
17,S0,65,68,37,bonus_bs15_gae3_no,1574,17,92.6,87,15.74,-1.26,-126.0,95.0,204,275,96,125,92.6,112.7,134.2,-27.6,-47.7,-31,-60,-69.2
18,S0,55,65,37,bonus_bs15_gae3_no,1639,18,91.1,84.5,16.39,-1.61,-161.0,118.0,133,269,167,131,91.1,113.7,144.2,-36.1,-58.7,-112,-76,-89.2
19,S0,28,55,37,bonus_bs15_gae3_no,1694,19,89.2,82,16.94,-2.06,-206.0,136.0,120,188,180,212,89.2,117.0,157.1,-61.2,-89.0,-152,-184,-129.1
20,S0,100,28,37,bonus_bs15_gae3_no,1722,20,86.1,76.5,17.22,-2.78,-278.0,192.0,83,148,217,252,86.1,125.9,177.8,13.9,-25.9,-117,-152,-77.8
21,S0,30,100,37,bonus_bs15_gae3_no,1822,21,86.8,82,18.22,-2.78,-278.0,100.0,128,183,172,217,86.8,102.2,178.5,-56.8,-72.2,-142,-187,-148.5
22,S0,39,30,37,bonus_bs15_gae3_no,1852,22,84.2,76.5,18.52,-3.48,-348.0,169.0,130,158,170,242,84.2,125.2,199.0,-45.2,-86.2,-131,-203,-160.0
23,S0,12,39,37,bonus_bs15_gae3_no,1891,23,82.2,71,18.91,-4.09,-409.0,258.0,69,169,231,231,82.2,122.3,217.2,-70.2,-110.3,-219,-219,-205.2
24,S0,34,12,37,bonus_bs15_gae3_no,1903,24,79.3,69.5,19.03,-4.97,-497.0,235.0,51,81,249,319,79.3,131.2,243.3,-45.3,-97.2,-215,-285,-209.3
25,S0,394,34,37,bonus_bs15_gae3_no,1937,25,77.5,68,19.37,-5.63,-563.0,237.0,46,85,254,315,77.5,123.9,263.3,316.5,270.1,140,79,130.7
26,S0,3,394,37,bonus_bs15_gae3_no,2331,26,89.7,69.5,23.31,-2.69,-269.0,524.0,428,440,-128,-40,89.7,5.5,178.4,-86.7,-2.5,131,43,-175.4
27,S0,185,3,37,bonus_bs15_gae3_no,2334,27,86.4,68,23.34,-3.66,-366.0,498.0,397,431,-97,-31,86.4,134.1,207.2,98.6,50.9,282,216,-22.2
28,S0,35,185,37,bonus_bs15_gae3_no,2519,28,90.0,69.5,25.19,-2.81,-281.0,573.0,188,582,112,-182,90.0,74.2,182.7,-55.0,-39.2,-77,217,-147.7
29,S0,123,35,37,bonus_bs15_gae3_no,2554,29,88.1,68,25.54,-3.46,-346.0,582.0,220,223,80,177,88.1,123.6,202.2,34.9,-0.6,43,-54,-79.2
30,S0,73,123,37,bonus_bs15_gae3_no,2677,30,89.2,69.5,26.77,-3.23,-323.0,592.0,158,343,142,57,89.2,94.6,195.8,-16.2,-21.6,-69,16,-122.8
31,S0,177,73,37,bonus_bs15_gae3_no,2750,31,88.7,71,27.5,-3.5,-350.0,549.0,196,231,104,169,88.7,111.1,204.2,88.3,65.9,73,8,-27.2
32,S0,7,177,37,bonus_bs15_gae3_no,2927,32,91.5,72.0,29.27,-2.73,-273.0,623.0,250,373,50,27,91.5,76.9,181.6,-84.5,-69.9,-43,-20,-174.6
33,S0,127,7,37,bonus_bs15_gae3_no,2934,33,88.9,71,29.34,-3.66,-366.0,591.0,184,257,116,143,88.9,132.8,209.7,38.1,-5.8,11,-16,-82.7
34,S0,64,127,37,bonus_bs15_gae3_no,3061,34,90.0,72.0,30.61,-3.39,-339.0,613.0,134,311,166,89,90.0,93.3,201.9,-26.0,-29.3,-102,-25,-137.9
35,S0,58,64,37,bonus_bs15_gae3_no,3125,35,89.3,71,31.25,-3.75,-375.0,640.0,191,198,109,202,89.3,114.0,213.0,-31.3,-56.0,-51,-144,-155.0
36,S0,191,58,37,bonus_bs15_gae3_no,3183,36,88.4,69.5,31.83,-4.17,-417.0,681.0,122,249,178,151,88.4,116.0,226.0,102.6,75.0,13,40,-35.0
37,S0,74,191,37,bonus_bs15_gae3_no,3374,37,91.2,71,33.74,-3.26,-326.0,747.0,249,313,51,87,91.2,72.3,198.8,-17.2,1.7,23,-13,-124.8
38,S0,62,74,37,bonus_bs15_gae3_no,3448,38,90.7,72.0,34.48,-3.52,-352.0,712.0,265,323,35,77,90.7,110.8,206.9,-28.7,-48.8,27,-15,-144.9
39,S0,107,62,37,bonus_bs15_gae3_no,3510,39,90.0,71,35.1,-3.9,-390.0,741.0,136,327,164,73,90.0,114.7,218.7,17.0,-7.7,-57,34,-111.7
40,S0,125,107,37,bonus_bs15_gae3_no,3617,40,90.4,72.0,36.17,-3.83,-383.0,737.0,169,243,131,157,90.4,99.9,216.8,34.6,25.1,-6,-32,-91.8
41,S0,144,125,37,bonus_bs15_gae3_no,3742,41,91.3,73,37.42,-3.58,-358.0,749.0,232,294,68,106,91.3,94.0,209.4,52.7,50.0,76,38,-65.4
42,S0,44,144,37,bonus_bs15_gae3_no,3886,42,92.5,73.5,38.86,-3.14,-314.0,799.0,269,376,31,24,92.5,87.7,196.1,-48.5,-43.7,13,20,-152.1
43,S0,169,44,37,bonus_bs15_gae3_no,3930,43,91.4,73,39.3,-3.7,-370.0,791.0,188,313,112,87,91.4,120.6,213.5,77.6,48.4,57,82,-44.5
44,S0,101,169,37,bonus_bs15_gae3_no,4099,44,93.2,73.5,40.99,-3.01,-301.0,865.0,213,357,87,43,93.2,79.5,192.5,7.8,21.5,14,58,-91.5
45,S0,107,101,37,bonus_bs15_gae3_no,4200,45,93.3,74,42.0,-3.0,-300.0,870.0,270,314,30,86,93.3,101.9,192.3,13.7,5.1,77,21,-85.3
46,S0,131,107,37,bonus_bs15_gae3_no,4307,46,93.6,78.0,43.07,-2.93,-293.0,719.0,208,377,92,23,93.6,99.9,190.3,37.4,31.1,39,108,-59.3
47,S0,24,131,37,bonus_bs15_gae3_no,4438,47,94.4,82,44.38,-2.62,-262.0,584.0,238,339,62,61,94.4,92.0,180.9,-70.4,-68.0,-38,-37,-156.9
48,S0,33,24,37,bonus_bs15_gae3_no,4462,48,93.0,78.0,44.62,-3.38,-338.0,718.0,155,262,145,138,93.0,127.2,204.5,-60.0,-94.2,-112,-105,-171.5
49,S0,80,33,37,bonus_bs15_gae3_no,4495,49,91.7,74,44.95,-4.05,-405.0,869.0,57,188,243,212,91.7,124.2,225.4,-11.7,-44.2,-163,-132,-145.4
50,S0,156,80,37,bonus_bs15_gae3_no,4575,50,91.5,77.0,45.75,-4.25,-425.0,725.0,113,137,187,263,91.5,108.8,231.8,64.5,47.2,-31,-107,-75.8
51,S0,44,156,37,bonus_bs15_gae3_no,4731,51,92.8,80,47.31,-3.69,-369.0,651.0,236,269,64,131,92.8,83.8,214.5,-48.8,-39.8,-20,-87,-170.5
52,S0,163,44,37,bonus_bs15_gae3_no,4775,52,91.8,77.0,47.75,-4.25,-425.0,771.0,200,280,100,120,91.8,120.6,232.1,71.2,42.4,63,43,-69.1
53,S0,53,163,37,bonus_bs15_gae3_no,4938,53,93.2,80,49.38,-3.62,-362.0,698.0,207,363,93,37,93.2,81.5,212.6,-40.2,-28.5,-40,16,-159.6
54,S0,245,53,37,bonus_bs15_gae3_no,4991,54,92.4,77.0,49.91,-4.09,-409.0,833.0,216,260,84,140,92.4,117.7,227.4,152.6,127.3,161,105,17.6
55,S0,69,245,37,bonus_bs15_gae3_no,5236,55,95.2,80,52.36,-2.64,-264.0,836.0,298,461,2,-61,95.2,54.5,182.3,-26.2,14.5,67,130,-113.3
56,S0,65,69,37,bonus_bs15_gae3_no,5305,56,94.7,77.0,53.05,-2.95,-295.0,993.0,314,367,-14,33,94.7,112.4,192.1,-29.7,-47.4,79,32,-127.1
57,S0,5,65,37,bonus_bs15_gae3_no,5370,57,94.2,74,53.7,-3.3,-330.0,1152.0,134,379,166,21,94.2,113.7,203.1,-89.2,-108.7,-161,-16,-198.1
58,S0,89,5,37,bonus_bs15_gae3_no,5375,58,92.7,73.5,53.75,-4.25,-425.0,1112.0,70,139,230,261,92.7,133.5,232.9,-3.7,-44.5,-141,-172,-143.9
59,S0,184,89,37,bonus_bs15_gae3_no,5464,59,92.6,74,54.64,-4.36,-436.0,1098.0,94,159,206,241,92.6,105.8,236.5,91.4,78.2,-22,-57,-52.5
