==========================================================================================
  ISLAM bankroll sweep — Scenario A ladder (22 missions)
==========================================================================================
  strategy         bankroll   missions       final_bk          pulls
  ----------------------------------------------------------------
  Pure 1x           100,000      10/22              0        242,920
  Pure 6000x        100,000       9/22          2,920             30
  Pure Hammer       100,000      11/22          4,310          2,124
  Pure Ensemble     100,000      13/22          1,569          2,455
  HYBRID            100,000      13/22          2,310          2,150

  Pure 1x           150,000      10/22              0        292,920
  Pure 6000x        150,000      10/22          4,920             48
  Pure Hammer       150,000      12/22          5,310          2,153
  Pure Ensemble     150,000      13/22          3,566          2,466
  HYBRID            150,000      14/22          2,310          2,200

  Pure 1x           200,000      11/22              0        427,920
  Pure 6000x        200,000      10/22            920             57
  Pure Hammer       200,000      12/22          1,310          2,162
  Pure Ensemble     200,000      13/22          5,566          2,474
  HYBRID            200,000      14/22          4,310          2,208

  Pure 1x           250,000      11/22              0        477,920
  Pure 6000x        250,000      12/22          2,920            100
  Pure Hammer       250,000      12/22          3,310          2,170
  Pure Ensemble     250,000      13/22          1,152          2,897
  HYBRID            250,000      14/22            310          2,217

  Pure 1x           300,000      12/22              0        652,920
  Pure 6000x        300,000      12/22          4,920            108
  Pure Hammer       300,000      12/22          5,310          2,178
  Pure Ensemble     300,000      14/22             54          4,045
  HYBRID            300,000      14/22          2,310          2,225

  Pure 1x           400,000      13/22              0        927,920
  Pure 6000x        400,000      12/22          2,920            125
  Pure Hammer       400,000      13/22          4,310          2,224
  Pure Ensemble     400,000      14/22          4,052          4,063
  HYBRID            400,000      14/22            310          2,242

  Pure 1x           500,000      13/22              0      1,027,920
  Pure 6000x        500,000      13/22          1,920            171
  Pure Hammer       500,000      13/22          2,310          2,241
  Pure Ensemble     500,000      18/22          2,054         10,327
  HYBRID            500,000      15/22            270          2,421

