====================================================================================
  ISLAM full-clear threshold search — Scenario A (22 missions)
====================================================================================
  strategy           bankroll     missions     final_bk            pulls
  --------------------------------------------------------------------
  Pure Ensemble       500,000        18/22        2,054           10,327
  HYBRID              500,000        15/22          270            2,421

  Pure Ensemble       750,000        20/22        4,268           12,329
  HYBRID              750,000        16/22        3,070            3,848

  Pure Ensemble     1,000,000        20/22        2,228           12,411
  HYBRID            1,000,000        18/22          565            5,597

  Pure Ensemble     1,500,000        20/22        4,028           12,694
  HYBRID            1,500,000        18/22        2,770            6,088

  Pure Ensemble     2,000,000        CLEAR      755,094           15,794
  HYBRID            2,000,000        21/22        3,200            9,952

  Pure Ensemble     3,000,000        CLEAR    1,755,094           15,794
  HYBRID            3,000,000        CLEAR    1,381,930           10,623

  Pure Ensemble     5,000,000        CLEAR    3,755,094           15,794
  HYBRID            5,000,000        CLEAR    3,381,930           10,623

