seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
64000,2026-04-07 18:54:26,2026-04-07,0,1,-1,,9,1,21,4,0,0.1905,0.0000,0.1905,0.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,,700000,107,37,1128,10000,11.28,0
64001,2026-04-07 18:54:27,2026-04-07,0,2,-1,,9,1,22,4,1,0.1818,0.0455,0.1818,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,,700000,107,37,1128,10000,11.28,0
64002,2026-04-07 18:54:28,2026-04-07,0,3,-1,,9,1,23,4,1,0.1739,0.0435,0.1739,0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,,700000,107,37,1128,10000,11.28,0
64003,2026-04-07 18:54:29,2026-04-07,0,4,-1,shield,9,1,24,4,1,0.1667,0.0417,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,shield,0,,700000,107,37,1128,10000,11.28,0
64004,2026-04-07 18:54:30,2026-04-07,0,5,-1,shield,9,1,25,4,1,0.1600,0.0400,0.1600,0.1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,shield,0,,700000,107,37,1128,10000,11.28,0
64005,2026-04-07 18:54:31,2026-04-07,0,6,-1,shield,9,1,26,4,1,0.1538,0.0385,0.1538,0.1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,,700000,107,37,1128,10000,11.28,0
64006,2026-04-07 18:54:32,2026-04-07,0,7,-1,shield,9,1,27,4,2,0.1481,0.0741,0.1481,0.1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,,700000,107,37,1128,10000,11.28,0
64007,2026-04-07 18:54:33,2026-04-07,0,8,-1,shield,9,1,28,4,2,0.1429,0.0714,0.1429,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,,700000,107,37,1128,10000,11.28,0
64008,2026-04-07 20:37:54,2026-04-07,0,1,-1,,9,1,1,1,0,1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,37,1129,10000,11.29,0
64009,2026-04-07 20:37:57,2026-04-07,0,2,-1,,9,1,2,1,0,0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_bs15_gae1_no,700000,107,37,1129,10000,11.29,0
64010,2026-04-07 20:38:00,2026-04-07,0,3,-1,,9,1,3,2,0,0.6667,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,37,1130,10000,11.30,0
64011,2026-04-07 20:38:01,2026-04-07,0,4,-1,,9,1,4,3,0,0.7500,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,37,1131,10000,11.31,0
64012,2026-04-07 20:38:10,2026-04-07,0,5,-1,,9,1,5,3,0,0.6000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_bs15_gae1_no,700000,107,37,1131,10000,11.31,0
64013,2026-04-07 20:38:11,2026-04-07,0,6,-1,attack,9,1,6,3,0,0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,attack,0,bonus_bs15_gae1_no,700000,107,37,1131,10000,11.31,0
