i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
0,S0,82,,37,bonus_bs15_gae3_no,0,0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,106.6,106.6,95.0,95.0,-18.0,,,,-18.0,-24.6,-24.6,-13.0,-13.0
1,S0,146,82,37,,82,1,82.0,82,0.82,-0.18,-18.0,0.0,,,,,82.0,108.1,87.9,-24.6,-13.0,131.2,114.7,108.0,99.3,64.0,37.9,,,58.1,14.8,31.3,38.0,46.7
2,S0,21,146,37,bonus_bs15_gae3_no,228,2,114.0,114.0,2.28,0.28,28.0,0.0,228,,72,,114.0,87.1,104.8,14.8,38.0,91.8,101.7,57.0,82.5,-93.0,-66.1,-51,,-83.8,-70.8,-80.7,-36.0,-61.5
3,S0,59,21,37,bonus_bs15_gae3_no,249,3,83.0,82,2.49,-0.51,-51.0,3.0,167,249,133,151,83.0,128.2,99.8,-70.8,-36.0,177.5,130.0,131.0,106.9,-24.0,-69.2,-74,-92,-40.8,-118.5,-71.0,-72.0,-47.9
4,S0,149,59,37,bonus_bs15_gae3_no,308,4,77.0,70.5,3.08,-0.92,-92.0,26.0,80,226,220,174,77.0,115.7,107.4,-118.5,-72.0,225.1,145.7,167.0,118.8,72.0,33.3,-71,-25,41.6,-76.1,3.3,-18.0,30.2
5,S0,46,149,37,bonus_bs15_gae3_no,457,5,91.4,82,4.57,-0.43,-43.0,47.0,208,229,92,171,91.4,86.1,105.6,-76.1,-18.0,182.7,131.7,113.0,100.9,-45.4,-40.1,-46,-125,-59.6,-136.7,-85.7,-67.0,-54.9
6,S0,87,46,37,bonus_bs15_gae3_no,503,6,83.8,70.5,5.03,-0.97,-97.0,80.0,195,254,105,146,83.8,120.0,115.8,-136.7,-67.0,243.3,151.7,162.0,117.1,3.2,-33.0,-18,-59,-28.8,-156.3,-64.7,-75.0,-30.1
7,S0,151,87,37,bonus_bs15_gae3_no,590,7,84.3,82,5.9,-1.1,-110.0,16.0,133,282,167,118,84.3,106.5,120.6,-156.3,-75.0,262.9,158.2,170.0,119.8,66.7,44.5,-16,33,30.4,-111.9,-7.2,-19.0,31.2
8,S0,93,151,37,bonus_bs15_gae3_no,741,8,92.6,84.5,7.41,-0.59,-59.0,65.0,238,284,62,116,92.6,85.4,112.1,-111.9,-19.0,218.5,143.5,114.0,101.3,0.4,7.6,31,-23,-19.1,-125.5,-50.5,-21.0,-8.3
9,S0,49,93,37,bonus_bs15_gae3_no,834,9,92.7,87,8.34,-0.66,-66.0,51.0,244,331,56,69,92.7,104.5,114.4,-125.5,-21.0,232.1,148.0,116.0,101.9,-43.7,-55.5,-7,-20,-65.4,-183.1,-99.0,-67.0,-52.9
10,S0,129,49,37,bonus_bs15_gae3_no,883,10,88.3,84.5,8.83,-1.17,-117.0,38.0,142,293,158,107,88.3,119.0,126.9,-183.1,-67.0,289.7,167.0,162.0,117.1,40.7,10.0,-29,22,2.1,-160.7,-38.0,-33.0,11.9
11,S0,136,129,37,bonus_bs15_gae3_no,1012,11,92.0,87,10.12,-0.88,-88.0,55.0,178,271,122,129,92.0,92.7,121.0,-160.7,-33.0,267.4,159.7,128.0,105.9,44.0,43.3,14,7,15.0,-131.4,-23.7,8.0,30.1
12,S0,19,136,37,bonus_bs15_gae3_no,1148,12,95.7,90.0,11.48,-0.52,-52.0,68.0,265,314,35,86,95.7,90.4,112.8,-131.4,8.0,238.0,150.0,87.0,92.4,-76.7,-71.4,-16,-67,-93.8,-219.0,-131.0,-68.0,-73.4
13,S0,132,19,37,bonus_bs15_gae3_no,1167,13,89.8,87,11.67,-1.33,-133.0,36.0,155,284,145,116,89.8,128.8,133.7,-219.0,-68.0,325.6,178.9,163.0,117.4,42.2,3.2,-13,16,-1.7,-193.6,-46.9,-31.0,14.6
14,S0,71,132,37,bonus_bs15_gae3_no,1299,14,92.8,90.0,12.99,-1.01,-101.0,39.0,151,287,149,113,92.8,91.7,126.1,-193.6,-31.0,300.2,170.5,126.0,105.2,-21.8,-20.7,-78,-42,-55.1,-229.2,-99.5,-55.0,-34.2
15,S0,136,71,37,bonus_bs15_gae3_no,1370,15,91.3,87,13.7,-1.3,-130.0,65.0,203,222,97,178,91.3,111.7,134.2,-229.2,-55.0,335.8,182.2,150.0,113.2,44.7,24.3,39,-42,1.8,-199.8,-46.2,-14.0,22.8
16,S0,68,136,37,bonus_bs15_gae3_no,1506,16,94.1,90.0,15.06,-0.94,-94.0,66.0,207,339,93,61,94.1,90.4,125.1,-199.8,-14.0,306.4,172.6,109.0,99.6,-26.1,-22.4,-25,7,-57.1,-238.4,-104.6,-41.0,-31.6
17,S0,65,68,37,bonus_bs15_gae3_no,1574,17,92.6,87,15.74,-1.26,-126.0,95.0,204,275,96,125,92.6,112.7,134.2,-238.4,-41.0,345.0,185.3,136.0,108.5,-27.6,-47.7,-31,-60,-69.2,-280.0,-120.3,-71.0,-43.5
18,S0,55,65,37,bonus_bs15_gae3_no,1639,18,91.1,84.5,16.39,-1.61,-161.0,118.0,133,269,167,131,91.1,113.7,144.2,-280.0,-71.0,386.7,199.0,166.0,118.4,-36.1,-58.7,-112,-76,-89.2,-331.7,-144.0,-111.0,-63.4
19,S0,28,55,37,bonus_bs15_gae3_no,1694,19,89.2,82,16.94,-2.06,-206.0,136.0,120,188,180,212,89.2,117.0,157.1,-331.7,-111.0,438.3,216.1,206.0,131.6,-61.2,-89.0,-152,-184,-129.1,-410.3,-188.1,-178.0,-103.6
20,S0,100,28,37,bonus_bs15_gae3_no,1722,20,86.1,76.5,17.22,-2.78,-278.0,192.0,83,148,217,252,86.1,125.9,177.8,-410.3,-178.0,516.9,242.0,273.0,153.7,13.9,-25.9,-117,-152,-77.8,-416.9,-142.0,-173.0,-53.7
21,S0,30,100,37,bonus_bs15_gae3_no,1822,21,86.8,82,18.22,-2.78,-278.0,100.0,128,183,172,217,86.8,102.2,178.5,-416.9,-173.0,523.5,244.2,268.0,152.1,-56.8,-72.2,-142,-187,-148.5,-493.5,-214.2,-238.0,-122.1
22,S0,39,30,37,bonus_bs15_gae3_no,1852,22,84.2,76.5,18.52,-3.48,-348.0,169.0,130,158,170,242,84.2,125.2,199.0,-493.5,-238.0,600.1,269.5,333.0,173.5,-45.2,-86.2,-131,-203,-160.0,-561.1,-230.5,-294.0,-134.5
23,S0,12,39,37,bonus_bs15_gae3_no,1891,23,82.2,71,18.91,-4.09,-409.0,258.0,69,169,231,231,82.2,122.3,217.2,-561.1,-294.0,667.7,291.8,389.0,192.0,-70.2,-110.3,-219,-219,-205.2,-655.7,-279.8,-377.0,-180.0
24,S0,34,12,37,bonus_bs15_gae3_no,1903,24,79.3,69.5,19.03,-4.97,-497.0,235.0,51,81,249,319,79.3,131.2,243.3,-655.7,-377.0,762.3,323.0,472.0,219.4,-45.3,-97.2,-215,-285,-209.3,-728.3,-289.0,-438.0,-185.4
25,S0,394,34,37,bonus_bs15_gae3_no,1937,25,77.5,68,19.37,-5.63,-563.0,237.0,46,85,254,315,77.5,123.9,263.3,-728.3,-438.0,834.9,347.0,533.0,239.5,316.5,270.1,140,79,130.7,-440.9,47.0,-139.0,154.5
26,S0,3,394,37,bonus_bs15_gae3_no,2331,26,89.7,69.5,23.31,-2.69,-269.0,524.0,428,440,-128,-40,89.7,5.5,178.4,-440.9,-139.0,547.6,252.1,234.0,140.9,-86.7,-2.5,131,43,-175.4,-544.6,-249.1,-231.0,-137.9
27,S0,185,3,37,bonus_bs15_gae3_no,2334,27,86.4,68,23.34,-3.66,-366.0,498.0,397,431,-97,-31,86.4,134.1,207.2,-544.6,-231.0,651.2,286.3,326.0,171.2,98.6,50.9,282,216,-22.2,-466.2,-101.3,-141.0,13.8
28,S0,35,185,37,bonus_bs15_gae3_no,2519,28,90.0,69.5,25.19,-2.81,-281.0,573.0,188,582,112,-182,90.0,74.2,182.7,-466.2,-141.0,572.8,260.5,236.0,141.5,-55.0,-39.2,-77,217,-147.7,-537.8,-225.5,-201.0,-106.5
29,S0,123,35,37,bonus_bs15_gae3_no,2554,29,88.1,68,25.54,-3.46,-346.0,582.0,220,223,80,177,88.1,123.6,202.2,-537.8,-201.0,644.4,284.1,296.0,161.3,34.9,-0.6,43,-54,-79.2,-521.4,-161.1,-173.0,-38.3
30,S0,73,123,37,bonus_bs15_gae3_no,2677,30,89.2,69.5,26.77,-3.23,-323.0,592.0,158,343,142,57,89.2,94.6,195.8,-521.4,-173.0,628.0,278.7,268.0,152.1,-16.2,-21.6,-69,16,-122.8,-555.0,-205.7,-195.0,-79.1
31,S0,177,73,37,bonus_bs15_gae3_no,2750,31,88.7,71,27.5,-3.5,-350.0,549.0,196,231,104,169,88.7,111.1,204.2,-555.0,-195.0,661.6,289.8,290.0,159.4,88.3,65.9,73,8,-27.2,-484.6,-112.8,-113.0,17.6
32,S0,7,177,37,bonus_bs15_gae3_no,2927,32,91.5,72.0,29.27,-2.73,-273.0,623.0,250,373,50,27,91.5,76.9,181.6,-484.6,-113.0,591.2,266.5,208.0,132.3,-84.5,-69.9,-43,-20,-174.6,-584.2,-259.5,-201.0,-125.3
33,S0,127,7,37,bonus_bs15_gae3_no,2934,33,88.9,71,29.34,-3.66,-366.0,591.0,184,257,116,143,88.9,132.8,209.7,-584.2,-201.0,690.9,299.4,296.0,161.3,38.1,-5.8,11,-16,-82.7,-563.9,-172.4,-169.0,-34.3
34,S0,64,127,37,bonus_bs15_gae3_no,3061,34,90.0,72.0,30.61,-3.39,-339.0,613.0,134,311,166,89,90.0,93.3,201.9,-563.9,-169.0,670.5,292.7,264.0,150.8,-26.0,-29.3,-102,-25,-137.9,-606.5,-228.7,-200.0,-86.8
