=== SIGNAL-ONLY TRACE: ACCUMULATION ===

============================================================================================================================================
 ACCOUNT: Islam
============================================================================================================================================
Gap #001 | CurLen: 146 | Prev1:  82 | Prev2:   0 | Bets: 53 | Result: LATE HIT
    T-43 | SEQ: 68209 | POS: 57 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-42 | SEQ: 68210 | POS: 58 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-41 | SEQ: 68211 | POS: 59 | [   WAITING  ] | [attack  |shield  |goldSack]
    T-40 | SEQ: 68212 | POS: 60 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T-39 | SEQ: 68213 | POS: 61 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T-38 | SEQ: 68214 | POS: 62 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-37 | SEQ: 68215 | POS: 63 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T-36 | SEQ: 68216 | POS: 64 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T-35 | SEQ: 68217 | POS: 65 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-34 | SEQ: 68218 | POS: 66 | [V5_EARLY_S  ] | [attack  |attack  |goldSack]
    T-33 | SEQ: 68219 | POS: 67 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T-32 | SEQ: 68220 | POS: 68 | [V5_EARLY_S  ] | [shield  |shield  |shield  ]
    T-31 | SEQ: 68222 | POS: 69 | [V5_EARLY_S  ] | [attack  |attack  |attack  ]
    T-30 | SEQ: 68223 | POS: 70 | [V5_EARLY_S  ] | [spins   |spins   |spins   ]
    T-29 | SEQ: 68224 | POS: 71 | [V5_EARLY_S  ] | [accumula|accumula|attack  ]
    T-28 | SEQ: 68225 | POS: 72 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T-27 | SEQ: 68226 | POS: 73 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T-26 | SEQ: 68227 | POS: 74 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T-25 | SEQ: 68228 | POS: 75 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T-24 | SEQ: 68229 | POS: 76 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
