acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Ahmed,0,0,132,14335,64,400,2,59@15 45@50 28@400
Ahmed,0,1,29,435,18,15,0,29@15
Ahmed,0,2,11,165,9,15,0,11@15
Ahmed,0,3,55,825,23,15,0,55@15
Ahmed,0,4,120,15240,66,400,2,36@15 54@50 30@400
Ahmed,0,5,135,11195,52,400,2,53@15 64@50 18@400
Ahmed,0,6,125,10100,57,400,2,60@15 48@50 17@400
Ahmed,0,7,10,150,5,15,0,10@15
Ahmed,0,8,250,446895,113,6000,4,43@15 57@50 51@400 38@1500 61@6000
Ahmed,0,9,57,1555,36,50,1,37@15 20@50
Ahmed,0,10,13,195,8,15,0,13@15
Ahmed,0,11,127,9640,60,400,2,66@15 45@50 16@400
Ahmed,0,12,78,2605,42,50,1,37@15 41@50
Ahmed,0,13,59,885,22,15,0,59@15
Ahmed,0,14,153,35045,77,1500,3,33@15 51@50 65@400 4@1500
Ahmed,0,15,117,10750,57,400,2,50@15 48@50 19@400
Ahmed,0,16,154,41670,77,1500,3,38@15 56@50 47@400 13@1500
Ahmed,0,17,54,1125,27,50,1,45@15 9@50
Ahmed,0,18,133,22400,65,400,2,30@15 55@50 48@400
Ahmed,0,19,90,4325,53,400,2,35@15 52@50 3@400
Ahmed,0,20,119,13685,64,400,2,49@15 43@50 27@400
Ahmed,0,21,110,3295,43,50,1,63@15 47@50
Ahmed,0,22,37,590,26,50,1,36@15 1@50
Ahmed,0,23,158,30115,76,1500,3,41@15 62@50 51@400 4@1500
Ahmed,0,24,102,7060,57,400,2,34@15 59@50 9@400
Ahmed,0,25,111,5655,51,400,2,57@15 48@50 6@400
Ahmed,0,26,59,1165,26,50,1,51@15 8@50
Ahmed,0,27,147,40955,84,1500,3,37@15 48@50 50@400 12@1500
Ahmed,0,28,69,1630,28,50,1,52@15 17@50
Ahmed,0,29,127,17690,69,400,2,36@15 55@50 36@400
Ahmed,0,30,49,735,23,15,0,49@15
Ahmed,0,31,117,5430,50,400,2,42@15 72@50 3@400
Ahmed,0,32,48,1210,33,50,1,34@15 14@50
Ahmed,0,33,151,50285,84,1500,3,39@15 52@50 39@400 21@1500
Ahmed,0,34,128,8535,59,400,2,49@15 68@50 11@400
Ahmed,0,35,42,630,22,15,0,42@15
Ahmed,0,36,170,35380,81,1500,3,62@15 47@50 54@400 7@1500
Ahmed,0,37,49,980,31,50,1,42@15 7@50
Ahmed,0,38,101,3125,43,50,1,55@15 46@50
Ahmed,0,39,123,21235,66,400,2,29@15 48@50 46@400
Ahmed,0,40,40,600,12,15,0,40@15
Ahmed,0,41,108,9285,58,400,2,59@15 32@50 17@400
Ahmed,0,42,141,16080,60,400,2,62@15 47@50 32@400
