acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Nick,0,0,85,2745,51,400,2,53@15 31@50 1@400
Nick,0,1,197,316620,117,6000,4,48@15 50@50 26@400 30@1500 43@6000
Nick,0,2,219,59275,87,1500,3,65@15 66@50 70@400 18@1500
Nick,0,3,136,14360,66,400,2,54@15 55@50 27@400
Nick,0,4,116,7025,60,400,2,65@15 41@50 10@400
Nick,0,5,139,15770,69,400,2,58@15 50@50 31@400
Nick,0,6,19,285,5,15,0,19@15
Nick,0,7,110,9455,65,400,2,47@15 47@50 16@400
Nick,0,8,163,42000,80,1500,3,60@15 38@50 53@400 12@1500
Nick,0,9,19,285,10,15,0,19@15
Nick,0,10,250,425055,132,6000,4,67@15 39@50 54@400 31@1500 59@6000
Nick,0,11,154,32380,75,1500,3,52@15 42@50 55@400 5@1500
Nick,0,12,18,270,10,15,0,18@15
Nick,0,13,40,600,20,15,0,40@15
Nick,0,14,340,1054190,179,6000,4,36@15 65@50 46@400 28@1500 165@6000
Nick,0,15,90,2925,46,50,1,45@15 45@50
Nick,0,16,159,42990,80,1500,3,46@15 46@50 55@400 12@1500
Nick,1,17,103,7845,55,400,2,43@15 48@50 12@400
Nick,1,18,76,2470,35,50,1,38@15 38@50
Nick,1,19,122,13275,63,400,2,45@15 52@50 25@400
Nick,1,20,149,27235,77,1500,3,49@15 48@50 49@400 3@1500
Nick,1,21,64,1450,27,50,1,50@15 14@50
Nick,1,22,74,2300,34,50,1,40@15 34@50
