acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Islam,0,0,146,34905,80,1500,3,47@15 50@50 38@400 11@1500
Islam,0,1,21,315,12,15,0,21@15
Islam,0,2,59,1095,30,50,1,53@15 6@50
Islam,0,3,149,22045,70,400,2,53@15 49@50 47@400
Islam,0,4,46,1075,26,50,1,35@15 11@50
Islam,0,5,87,2530,40,50,1,52@15 35@50
Islam,0,6,151,43635,83,1500,3,49@15 38@50 50@400 14@1500
Islam,0,7,93,2515,45,50,1,61@15 32@50
Islam,0,8,49,735,20,15,0,49@15
Islam,0,9,129,16880,72,400,2,42@15 53@50 34@400
Islam,0,10,136,16565,66,400,2,51@15 52@50 33@400
Islam,0,11,19,285,18,15,0,19@15
Islam,0,12,132,12445,66,400,2,63@15 46@50 23@400
Islam,0,13,71,1940,44,50,1,46@15 25@50
Islam,0,14,136,23820,78,1500,3,58@15 33@50 42@400 3@1500
Islam,0,15,68,2070,38,50,1,38@15 30@50
Islam,0,16,65,1115,27,50,1,61@15 4@50
Islam,0,17,55,1000,28,50,1,50@15 5@50
Islam,0,18,28,420,16,15,0,28@15
Islam,0,19,100,7695,60,400,2,33@15 56@50 11@400
Islam,0,20,30,450,14,15,0,30@15
Islam,0,21,39,585,20,15,0,39@15
Islam,0,22,12,180,1,15,0,12@15
Islam,0,23,34,510,23,15,0,34@15
Islam,0,24,394,1225580,188,6000,4,62@15 49@50 48@400 46@1500 189@6000
Islam,0,25,3,45,0,15,0,3@15
Islam,0,26,185,88195,95,6000,4,43@15 51@50 55@400 34@1500 2@6000
Islam,0,27,35,525,16,15,0,35@15
Islam,0,28,123,16650,61,400,2,30@15 60@50 33@400
Islam,0,29,73,1970,39,50,1,48@15 25@50
Islam,0,30,177,89425,92,1500,3,55@15 34@50 41@400 47@1500
Islam,0,31,7,105,5,15,0,7@15
Islam,0,32,127,15660,63,400,2,44@15 52@50 31@400
Islam,0,33,64,960,20,15,0,64@15
Islam,0,34,58,1010,30,50,1,54@15 4@50
Islam,0,35,191,61805,89,1500,3,57@15 67@50 39@400 28@1500
Islam,0,36,74,1530,36,50,1,62@15 12@50
Islam,0,37,62,1350,33,50,1,50@15 12@50
Islam,0,38,107,5735,53,400,2,49@15 52@50 6@400
Islam,0,39,125,21225,76,1500,3,35@15 50@50 38@400 2@1500
Islam,0,40,144,11540,59,400,2,76@15 48@50 20@400
Islam,0,41,44,835,30,50,1,39@15 5@50
Islam,0,42,169,66575,86,1500,3,55@15 43@50 39@400 32@1500
Islam,0,43,101,3090,46,50,1,56@15 45@50
Islam,0,44,107,4685,53,400,2,39@15 66@50 2@400
Islam,0,45,131,20130,72,400,2,42@15 46@50 43@400
Islam,0,46,24,360,11,15,0,24@15
Islam,0,47,33,495,17,15,0,33@15
Islam,0,48,80,2425,40,50,1,45@15 35@50
Islam,0,49,156,21625,68,400,2,55@15 56@50 45@400
Islam,0,50,44,660,20,15,0,44@15
Islam,0,51,163,55275,86,1500,3,35@15 59@50 47@400 22@1500
Islam,0,52,53,1145,25,50,1,43@15 10@50
Islam,0,53,245,413660,134,6000,4,54@15 41@50 52@400 44@1500 54@6000
Islam,0,54,69,1910,41,50,1,44@15 25@50
Islam,0,55,65,1325,31,50,1,55@15 10@50
Islam,0,56,5,75,3,15,0,5@15
Islam,0,57,89,2910,47,50,1,44@15 45@50
Islam,0,58,184,123775,102,6000,4,55@15 41@50 51@400 27@1500 10@6000
Islam,0,59,114,5000,53,400,2,60@15 50@50 4@400
Islam,0,60,37,555,13,15,0,37@15
Islam,0,61,113,3970,48,50,1,48@15 65@50
Islam,0,62,227,468070,149,6000,4,38@15 40@50 50@400 33@1500 66@6000
Islam,0,63,101,2845,46,50,1,63@15 38@50
Islam,0,64,233,424700,122,6000,4,60@15 38@50 46@400 29@1500 60@6000
Islam,0,65,49,735,22,15,0,49@15
Islam,0,66,136,17615,63,400,2,41@15 60@50 35@400
Islam,0,67,150,27480,75,1500,3,52@15 42@50 54@400 2@1500
Islam,0,68,163,70955,84,1500,3,47@15 45@50 35@400 36@1500
Islam,0,69,28,420,14,15,0,28@15
Islam,0,70,163,48165,85,1500,3,51@15 46@50 49@400 17@1500
Islam,0,71,66,1760,37,50,1,44@15 22@50
Islam,0,72,133,16170,65,400,2,58@15 42@50 33@400
Islam,0,73,56,1155,34,50,1,47@15 9@50
Islam,0,74,62,930,21,15,0,62@15
Islam,0,75,114,8360,57,400,2,44@15 58@50 12@400
Islam,0,76,105,6930,53,400,2,42@15 54@50 9@400
Islam,0,77,28,420,13,15,0,28@15
Islam,0,78,85,2605,46,50,1,47@15 38@50
Islam,0,79,226,253690,105,6000,4,56@15 43@50 68@400 29@1500 30@6000
Islam,0,80,88,2650,35,50,1,50@15 38@50
Islam,0,81,161,54840,84,1500,3,56@15 38@50 44@400 23@1500
Islam,1,82,66,1795,32,50,1,43@15 23@50
Islam,1,83,95,4715,53,400,2,51@15 39@50 5@400
Islam,1,84,112,3955,45,50,1,47@15 65@50
Islam,1,85,146,51310,83,1500,3,44@15 41@50 39@400 22@1500
Islam,1,86,107,4370,52,400,2,58@15 46@50 3@400
Islam,1,87,32,480,14,15,0,32@15
Islam,1,88,166,71585,92,1500,3,39@15 46@50 48@400 33@1500
Islam,1,89,49,735,24,15,0,49@15
Islam,1,90,156,45765,77,1500,3,51@15 48@50 39@400 18@1500
Islam,1,91,47,775,26,50,1,45@15 2@50
Islam,1,92,70,1155,25,50,1,67@15 3@50
Islam,1,93,152,47930,86,1500,3,42@15 44@50 49@400 17@1500
Islam,1,94,52,780,19,15,0,52@15
