GAP_COMPARISON: +/- 20 vs +/- 30 WINDOW
Format: [Gap #] | Result_20 | Bets_20 | Result_30 | Bets_30


========== ACCOUNT: ISLAM ==========
[acc] Gap #004 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #005 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #006 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #007 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #008 | FAIL  |  21 MB | FAIL  |  21 MB
[acc] Gap #009 | FAIL  |   0 MB | FAIL  |  16 MB
[acc] Gap #010 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #011 | FAIL  |  15 MB | FAIL  |  15 MB
[acc] Gap #012 | CATCH |   0 MB | CATCH |   3 MB
[acc] Gap #013 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #014 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #015 | FAIL  |  27 MB | FAIL  |  27 MB
[acc] Gap #016 | FAIL  |   0 MB | CATCH |   3 MB
[acc] Gap #017 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #018 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #019 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #020 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #021 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #022 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #023 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #024 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #025 | FAIL  | 151 MB | FAIL  | 151 MB
[acc] Gap #026 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #027 | FAIL  |  33 MB | FAIL  |  33 MB
[acc] Gap #028 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #029 | FAIL  |   8 MB | FAIL  |   8 MB
[acc] Gap #030 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #031 | CATCH |   6 MB | CATCH |   6 MB
[acc] Gap #032 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #033 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #034 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #035 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #036 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #037 | FAIL  |  21 MB | FAIL  |  21 MB
[acc] Gap #038 | FAIL  |  31 MB | FAIL  |  31 MB
[acc] Gap #039 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #040 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #041 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #042 | FAIL  |   7 MB | FAIL  |  19 MB
[acc] Gap #043 | CATCH |   9 MB | CATCH |   9 MB
[acc] Gap #044 | FAIL  |  11 MB | FAIL  |  21 MB
[acc] Gap #045 | FAIL  |  56 MB | FAIL  |  56 MB
[acc] Gap #046 | FAIL  |   0 MB | FAIL  |   0 MB
