=== HIGH CATCH PUSH TRACE: AHMED ===

========================================================================================================================
 TARGET: ACCUMULATION
========================================================================================================================

E0 | Gap #004 | Len:  55 | Result: MISSED
    T+40 | SEQ: 46615 | POS: 41 | [WAITING] | [steal   |spins   |goldSack]
    T+41 | SEQ: 46616 | POS: 42 | [WAITING] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+42 | SEQ: 46617 | POS: 43 | [WAITING] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+43 | SEQ: 46618 | POS: 44 | [WAITING] | [attack  |coin    |shield  ]
    T+44 | SEQ: 46619 | POS: 45 | [WAITING] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+45 | SEQ: 46620 | POS: 46 | [WAITING] | [coin    |steal   |steal   ]
    T+46 | SEQ: 46621 | POS: 47 | [WAITING] | [goldSack|goldSack|goldSack]
    T+47 | SEQ: 46622 | POS: 48 | [WAITING] | [attack  |attack  |goldSack]
    T+48 | SEQ: 46623 | POS: 49 | [WAITING] | [coin    |steal   |spins   ]
    T+49 | SEQ: 46624 | POS: 50 | [WAITING] | [steal   |spins   |goldSack]
    T+50 | SEQ: 46625 | POS: 51 | [WAITING] | [accumula|goldSack|goldSack]
    T+51 | SEQ: 46626 | POS: 52 | [WAITING] | [attack  |attack  |goldSack]
    T+52 | SEQ: 46627 | POS: 53 | [WAITING] | [attack  |steal   |goldSack]
    T+53 | SEQ: 46628 | POS: 54 | [WAITING] | [accumula|accumula|coin    ]
    T+54 | SEQ: 46629 | POS: 55 | [WAITING] | [accumula|accumula|accumula] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #005 | Len: 120 | Result: CATCH
    T-05 | SEQ: 46735 | POS:106 | [BASE_100    ] | [attack  |steal   |goldSack]
    T-04 | SEQ: 46736 | POS:107 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T-03 | SEQ: 46737 | POS:108 | [BASE_100    ] | [attack  |shield  |goldSack]
    T-02 | SEQ: 46738 | POS:109 | [BASE_100    ] | [accumula|goldSack|goldSack]
