acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Islam,0,0,146,27037,6,1500,6,15@1 17@2 21@3 15@15 16@50 61@400 1@1500
Islam,0,1,21,40,1,2,1,2@1 19@2
Islam,0,2,59,125,2,3,2,7@1 38@2 14@3
Islam,0,3,149,62687,7,6000,7,27@1 11@2 6@3 28@15 6@50 61@400 5@1500 5@6000
Islam,0,4,46,312,3,15,3,1@1 16@2 13@3 16@15
Islam,0,5,87,3224,5,400,5,5@1 9@2 52@3 3@15 12@50 6@400
Islam,0,6,151,21979,6,1500,6,9@1 21@2 41@3 57@15 1@50 11@400 11@1500
Islam,0,7,93,7460,5,400,5,16@1 5@2 13@3 13@15 32@50 14@400
Islam,0,8,49,51,1,2,1,47@1 2@2
Islam,0,9,129,49634,7,6000,7,14@1 22@2 17@3 35@15 18@50 4@400 15@1500 4@6000
Islam,0,10,136,409,3,15,3,90@1 23@2 6@3 17@15
Islam,0,11,19,35,1,2,1,3@1 16@2
Islam,0,12,132,12489,5,400,5,3@1 35@2 22@3 20@15 25@50 27@400
Islam,0,13,71,325,3,15,3,9@1 26@2 23@3 13@15
Islam,0,14,136,193017,7,6000,7,6@1 2@2 49@3 14@15 5@50 1@400 36@1500 23@6000
Islam,0,15,68,588,4,50,4,28@1 7@2 22@3 2@15 9@50
Islam,0,16,65,104,1,2,1,26@1 39@2
Islam,0,17,55,55,0,1,0,55@1
Islam,0,18,28,41,1,2,1,15@1 13@2
Islam,0,19,100,106227,7,6000,7,12@1 2@2 27@3 12@15 13@50 12@400 7@1500 15@6000
Islam,0,20,30,69,2,3,2,10@1 1@2 19@3
Islam,0,21,39,85,3,15,3,25@1 6@2 6@3 2@15
Islam,0,22,12,12,0,1,0,12@1
Islam,0,23,34,34,0,1,0,34@1
Islam,0,24,394,5675935,22,20000,8,35@1 14@2 14@3 2@15 8@50 16@400 18@1500 7@6000 280@20000
Islam,0,25,3,3,0,1,0,3@1
Islam,0,26,185,96583,7,6000,7,18@1 18@2 28@3 13@15 23@50 54@400 25@1500 6@6000
Islam,0,27,35,87,2,3,2,2@1 14@2 19@3
Islam,0,28,123,202435,7,6000,7,32@1 5@2 26@3 1@15 14@50 9@400 4@1500 32@6000
Islam,0,29,73,332,3,15,3,7@1 17@2 37@3 12@15
Islam,0,30,177,165152,7,6000,7,5@1 32@2 31@3 16@15 61@50 3@400 3@1500 26@6000
Islam,0,31,7,7,0,1,0,7@1
Islam,0,32,127,21248,6,1500,6,30@1 3@2 9@3 49@15 11@50 16@400 9@1500
Islam,0,33,64,120,2,3,2,29@1 14@2 21@3
Islam,0,34,58,172,3,15,3,23@1 28@2 1@3 6@15
Islam,0,35,191,965365,9,20000,8,15@1 8@2 53@3 25@15 6@50 10@400 19@1500 12@6000 43@20000
Islam,0,36,74,841,4,50,4,6@1 42@2 2@3 13@15 11@50
Islam,0,37,62,122,1,2,1,2@1 60@2
Islam,0,38,107,25617,6,1500,6,14@1 11@2 37@3 8@15 17@50 5@400 15@1500
Islam,0,39,125,747,4,50,4,11@1 67@2 29@3 11@15 7@50
Islam,0,40,144,50040,7,6000,7,13@1 16@2 30@3 27@15 24@50 27@400 1@1500 6@6000
Islam,0,41,44,51,1,2,1,37@1 7@2
Islam,0,42,169,1150661,9,20000,8,25@1 26@2 13@3 13@15 5@50 4@400 11@1500 22@6000 50@20000
Islam,0,43,101,7554,5,400,5,1@1 3@2 29@3 34@15 19@50 15@400
Islam,0,44,107,736,4,50,4,40@1 15@2 27@3 19@15 6@50
Islam,0,45,131,815,4,50,4,22@1 9@2 75@3 20@15 5@50
Islam,0,46,24,57,2,3,2,4@1 7@2 13@3
Islam,0,47,33,63,1,2,1,3@1 30@2
Islam,0,48,80,306,3,15,3,25@1 4@2 41@3 10@15
Islam,0,49,156,439664,9,20000,8,11@1 3@2 4@3 29@15 16@50 21@400 44@1500 14@6000 14@20000
Islam,0,50,44,105,2,3,2,6@1 15@2 23@3
Islam,0,51,163,575693,10,20000,8,13@1 12@2 27@3 15@15 19@50 1@400 36@1500 20@6000 20@20000
Islam,0,52,53,96,1,2,1,10@1 43@2
Islam,0,53,245,2075645,10,20000,8,12@1 12@2 3@3 30@15 55@50 6@400 8@1500 23@6000 96@20000
Islam,0,54,69,15542,6,1500,6,13@1 1@2 14@3 19@15 10@50 3@400 9@1500
Islam,0,55,65,115,1,2,1,15@1 50@2
Islam,0,56,5,5,0,1,0,5@1
Islam,0,57,89,174,1,2,1,4@1 85@2
Islam,0,58,184,27067,5,400,5,7@1 7@2 12@3 4@15 99@50 55@400
Islam,0,59,114,1895,4,50,4,17@1 37@2 18@3 10@15 32@50
Islam,0,60,37,482,4,50,4,9@1 2@2 8@3 13@15 5@50
Islam,0,61,113,986,4,50,4,12@1 73@2 1@3 15@15 12@50
Islam,0,62,227,922023,9,20000,8,20@1 5@2 21@3 2@15 82@50 17@400 10@1500 36@6000 34@20000
Islam,0,63,101,2371,5,400,5,43@1 23@2 14@3 6@15 11@50 4@400
Islam,0,64,233,1998108,9,20000,8,47@1 6@2 13@3 14@15 22@50 3@400 29@1500 2@6000 97@20000
Islam,0,65,49,525,4,50,4,3@1 29@2 3@3 7@15 7@50
Islam,0,66,136,6706,5,400,5,6@1 20@2 20@3 20@15 62@50 8@400
Islam,0,67,150,17942,5,400,5,10@1 6@2 10@3 46@15 40@50 38@400
Islam,0,68,163,34807,6,1500,6,14@1 5@2 1@3 12@15 54@50 76@400 1@1500
Islam,0,69,28,28,0,1,0,28@1
Islam,0,70,163,159663,8,20000,8,10@1 1@2 12@3 21@15 64@50 24@400 15@1500 14@6000 2@20000
Islam,0,71,66,1451,4,50,4,2@1 7@2 10@3 27@15 20@50
Islam,0,72,133,69726,6,1500,6,15@1 6@2 28@3 21@15 6@50 15@400 42@1500
Islam,0,73,56,358,3,15,3,15@1 20@2 1@3 20@15
Islam,0,74,62,129,2,3,2,15@1 27@2 20@3
Islam,0,75,114,45411,6,1500,6,1@1 9@2 9@3 1@15 47@50 25@400 22@1500
Islam,0,76,105,1070,3,15,3,12@1 1@2 27@3 65@15
Islam,0,77,28,43,1,2,1,13@1 15@2
Islam,0,78,85,149,2,3,2,38@1 30@2 17@3
Islam,0,79,226,1587830,11,20000,8,20@1 1@2 1@3 7@15 74@50 20@400 8@1500 24@6000 71@20000
Islam,0,80,88,53371,7,6000,7,6@1 6@2 26@3 5@15 24@50 10@400 4@1500 7@6000
Islam,0,81,161,334221,8,20000,8,2@1 21@2 54@3 21@15 6@50 11@400 10@1500 29@6000 7@20000
Islam,1,82,66,171,3,15,3,25@1 25@2 12@3 4@15
Islam,1,83,95,1359,4,50,4,8@1 4@2 56@3 5@15 22@50
Islam,1,84,112,1721,4,50,4,8@1 2@2 58@3 19@15 25@50
Islam,1,85,146,573163,8,20000,8,38@1 1@2 1@3 8@15 34@50 17@400 15@1500 7@6000 25@20000
Islam,1,86,107,1519,4,50,4,62@1 6@2 10@3 1@15 28@50
Islam,1,87,32,53,2,3,2,14@1 15@2 3@3
Islam,1,88,166,29717,6,1500,6,41@1 22@2 14@3 16@15 9@50 61@400 3@1500
Islam,1,89,49,49,0,1,0,49@1
Islam,1,90,156,1428932,9,20000,8,9@1 33@2 4@3 3@15 4@50 14@400 14@1500 7@6000 68@20000
Islam,1,91,47,100,2,3,2,3@1 35@2 9@3
Islam,1,92,70,171,2,3,2,11@1 17@2 42@3
Islam,1,93,152,62900,8,20000,8,9@1 34@2 16@3 5@15 62@50 19@400 4@1500 1@6000 2@20000
Islam,1,94,52,60,1,2,1,44@1 8@2
Islam,1,95,103,29151,6,1500,6,40@1 15@2 7@3 14@15 5@50 4@400 18@1500
Islam,1,96,159,13726,6,1500,6,37@1 39@2 2@3 67@15 2@50 5@400 7@1500
Islam,1,97,48,157,3,15,3,14@1 7@2 23@3 4@15
Islam,1,98,77,860,4,50,4,19@1 1@2 13@3 40@15 4@50
Islam,1,99,150,124000,7,6000,7,27@1 18@2 34@3 9@15 14@50 15@400 18@1500 15@6000
Islam,1,100,102,907,3,15,3,34@1 3@2 9@3 56@15
Islam,1,101,83,14985,5,400,5,3@1 11@2 15@3 1@15 18@50 35@400
Islam,1,102,70,1375,4,50,4,7@1 14@2 5@3 25@15 19@50
Islam,1,103,134,40381,6,1500,6,12@1 46@2 9@3 20@15 15@50 8@400 24@1500
Islam,1,104,69,263,3,15,3,6@1 4@2 53@3 6@15
Islam,1,105,160,193235,7,6000,7,24@1 4@2 1@3 20@15 42@50 27@400 16@1500 26@6000
Islam,1,106,108,382,4,50,4,18@1 36@2 49@3 3@15 2@50
Islam,1,107,55,123,2,3,2,2@1 38@2 15@3
Islam,1,108,173,155882,8,20000,8,1@1 14@2 26@3 25@15 6@50 59@400 33@1500 7@6000 2@20000
Islam,1,109,126,55618,7,6000,7,3@1 18@2 3@3 18@15 62@50 3@400 14@1500 5@6000
Islam,1,110,77,146,1,2,1,8@1 69@2
Islam,1,111,137,417747,9,20000,8,29@1 36@2 2@3 6@15 11@50 25@400 6@1500 3@6000 19@20000
Islam,1,112,280,3125846,15,20000,8,16@1 27@2 37@3 11@15 4@50 7@400 7@1500 22@6000 149@20000
Islam,1,113,292,2960956,13,20000,8,14@1 24@2 28@3 4@15 1@50 18@400 53@1500 9@6000 141@20000
Islam,1,114,443,5201662,22,20000,8,4@1 42@2 23@3 7@15 46@50 49@400 5@1500 12@6000 255@20000
Islam,1,115,70,14190,5,400,5,2@1 17@2 13@3 1@15 2@50 35@400
Islam,1,116,166,395745,9,20000,8,8@1 19@2 28@3 1@15 36@50 27@400 18@1500 16@6000 13@20000
