acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Nick,0,0,85,1564,4,50,4,26@1 4@2 20@3 8@15 27@50
Nick,0,1,197,211792,7,6000,7,13@1 26@2 4@3 31@15 13@50 24@400 70@1500 16@6000
Nick,0,2,219,1697719,12,20000,8,4@1 5@2 65@3 14@15 8@50 11@400 19@1500 14@6000 79@20000
Nick,0,3,136,77627,7,6000,7,31@1 1@2 8@3 38@15 2@50 31@400 19@1500 6@6000
Nick,0,4,116,19473,5,400,5,30@1 7@2 8@3 7@15 18@50 46@400
Nick,0,5,139,30340,5,400,5,11@1 25@2 3@3 18@15 8@50 74@400
Nick,0,6,19,32,1,2,1,6@1 13@2
Nick,0,7,110,1099,4,50,4,27@1 4@2 13@3 65@15 1@50
Nick,0,8,163,24215,6,1500,6,2@1 44@2 10@3 73@15 14@50 7@400 13@1500
Nick,0,9,19,28,1,2,1,10@1 9@2
Nick,0,10,250,2572646,13,20000,8,12@1 8@2 1@3 31@15 9@50 18@400 19@1500 36@6000 116@20000
Nick,0,11,154,660747,8,20000,8,1@1 49@2 1@3 23@15 8@50 6@400 1@1500 46@6000 19@20000
Nick,0,12,18,24,2,3,2,14@1 2@2 2@3
Nick,0,13,40,40,0,1,0,40@1
Nick,0,14,340,4297573,14,20000,8,44@1 5@2 8@3 13@15 4@50 24@400 17@1500 17@6000 208@20000
Nick,0,15,90,195431,7,6000,7,15@1 3@2 10@3 2@15 19@50 6@400 4@1500 31@6000
Nick,0,16,159,32834,6,1500,6,24@1 7@2 47@3 7@15 1@50 70@400 3@1500
Nick,1,17,103,3808,5,400,5,3@1 44@2 14@3 25@15 10@50 7@400
Nick,1,18,76,139,2,3,2,36@1 17@2 23@3
Nick,1,19,122,15071,5,400,5,11@1 20@2 20@3 4@15 34@50 33@400
Nick,1,20,149,447941,8,20000,8,9@1 27@2 6@3 24@15 40@50 5@400 5@1500 16@6000 17@20000
Nick,1,21,64,294,3,15,3,34@1 10@2 5@3 15@15
Nick,1,22,74,122,1,2,1,26@1 48@2
