=== MASTER TRACE: AHMED ===
Targets: ACCUMULATION and SPINS

####################################################################################################
 TARGET: ACCUMULATION
####################################################################################################

Gap #003 | CurLen:  11 | Prev1:  29 | Prev2: 132 | Result: MISSED (NAT DUP)
    T-03 | SEQ: 46564 | POS:  1 | [   WAITING  ] | [steal   |steal   |steal   ]
    T-02 | SEQ: 46565 | POS:  2 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-01 | SEQ: 46566 | POS:  3 | [   WAITING  ] | [attack  |attack  |goldSack]
    T+00 | SEQ: 46567 | POS:  4 | [   WAITING  ] | [attack  |attack  |goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 46568 | POS:  5 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+02 | SEQ: 46569 | POS:  6 | [   WAITING  ] | [attack  |attack  |attack  ]
    T+03 | SEQ: 46570 | POS:  7 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+04 | SEQ: 46571 | POS:  8 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+05 | SEQ: 46572 | POS:  9 | [   WAITING  ] | [shield  |goldSack|goldSack]
    T+06 | SEQ: 46573 | POS: 10 | [   WAITING  ] | [spins   |spins   |spins   ]
    T+07 | SEQ: 46574 | POS: 11 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #005 | CurLen: 120 | Prev1:  55 | Prev2:  11 | Result: CLEAN CATCH
    T-04 | SEQ: 46736 | POS:107 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-03 | SEQ: 46737 | POS:108 | [   WAITING  ] | [attack  |shield  |goldSack]
    T-02 | SEQ: 46738 | POS:109 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-01 | SEQ: 46739 | POS:110 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T+00 | SEQ: 46740 | POS:111 | [R01_COMBO   ] | [coin    |coin    |steal   ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 46741 | POS:112 | [R01_COMBO   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+02 | SEQ: 46742 | POS:113 | [R01_COMBO   ] | [attack  |coin    |steal   ]
    T+03 | SEQ: 46743 | POS:114 | [R01_COMBO   ] | [coin    |spins   |spins   ]
    T+04 | SEQ: 46744 | POS:115 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+05 | SEQ: 46745 | POS:116 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T+06 | SEQ: 46746 | POS:117 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+07 | SEQ: 46747 | POS:118 | [R01_COMBO   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+08 | SEQ: 46748 | POS:119 | [R01_COMBO   ] | [attack  |shield  |goldSack]
    T+09 | SEQ: 46749 | POS:120 | [R01_COMBO   ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #006 | CurLen: 135 | Prev1: 120 | Prev2:  55 | Result: CLEAN CATCH
    T-23 | SEQ: 46856 | POS:107 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-22 | SEQ: 46857 | POS:108 | [   WAITING  ] | [attack  |coin    |spins   ]
    T-21 | SEQ: 46858 | POS:109 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-20 | SEQ: 46859 | POS:110 | [R01_COMBO   ] | [steal   |steal   |steal   ]
    T-19 | SEQ: 46860 | POS:111 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-18 | SEQ: 46861 | POS:112 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-17 | SEQ: 46862 | POS:113 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-16 | SEQ: 46863 | POS:114 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-15 | SEQ: 46864 | POS:115 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T-14 | SEQ: 46865 | POS:116 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-13 | SEQ: 46866 | POS:117 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T-12 | SEQ: 46867 | POS:118 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T-11 | SEQ: 46868 | POS:119 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-10 | SEQ: 46869 | POS:120 | [R01_COMBO   ] | [steal   |steal   |steal   ]
    T-09 | SEQ: 46870 | POS:121 | [R01_COMBO   ] | [coin    |steal   |spins   ]
    T-08 | SEQ: 46871 | POS:122 | [R01_COMBO   ] | [coin    |spins   |spins   ]
    T-07 | SEQ: 46872 | POS:123 | [R01_COMBO   ] | [shield  |goldSack|goldSack]
    T-06 | SEQ: 46873 | POS:124 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-05 | SEQ: 46874 | POS:125 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T-04 | SEQ: 46875 | POS:126 | [R01_COMBO   ] | [attack  |coin    |coin    ]
    T-03 | SEQ: 46876 | POS:127 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 46877 | POS:128 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T-01 | SEQ: 46878 | POS:129 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+00 | SEQ: 46879 | POS:130 | [V5_STEAL_M  ] | [accumula|accumula|coin    ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 46880 | POS:131 | [V5_STEAL_M  ] | [steal   |spins   |goldSack]
    T+02 | SEQ: 46881 | POS:132 | [V5_STEAL_M  ] | [coin    |coin    |coin    ]
    T+03 | SEQ: 46882 | POS:133 | [V5_STEAL_M  ] | [attack  |coin    |coin    ]
    T+04 | SEQ: 46883 | POS:134 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+05 | SEQ: 46884 | POS:135 | [V5_STEAL_M  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #009 | CurLen: 250 | Prev1:  10 | Prev2: 125 | Result: LATE HIT
    T-67 | SEQ: 47126 | POS:107 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-66 | SEQ: 47127 | POS:108 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-65 | SEQ: 47128 | POS:109 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-64 | SEQ: 47129 | POS:110 | [R01_COMBO   ] | [coin    |coin    |coin    ]
