=== MASTER TRACE: NICK ===
Targets: ACCUMULATION and SPINS

####################################################################################################
 TARGET: ACCUMULATION
####################################################################################################

Gap #000 | CurLen:  51 | Prev1:   0 | Prev2:   0 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 60977 | POS: 70 | [   WAITING  ] | [attack  |coin    |steal   ]
    T-04 | SEQ: 60978 | POS: 71 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-03 | SEQ: 60979 | POS: 72 | [   WAITING  ] | [attack  |coin    |steal   ]
    T-02 | SEQ: 60980 | POS: 73 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-01 | SEQ: 60981 | POS: 74 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+00 | SEQ: 60982 | POS: 75 | [   WAITING  ] | [goldSack|goldSack|goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 60983 | POS: 76 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+02 | SEQ: 60984 | POS: 77 | [   WAITING  ] | [shield  |shield  |shield  ]
    T+03 | SEQ: 60985 | POS: 78 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+04 | SEQ: 60986 | POS: 79 | [   WAITING  ] | [accumula|accumula|coin    ]
    T+05 | SEQ: 60987 | POS: 80 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+06 | SEQ: 60988 | POS: 81 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+07 | SEQ: 60989 | POS: 82 | [   WAITING  ] | [coin    |steal   |steal   ]
    T+08 | SEQ: 60990 | POS: 83 | [   WAITING  ] | [steal   |steal   |steal   ]
    T+09 | SEQ: 60991 | POS: 84 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #002 | CurLen: 197 | Prev1:  85 | Prev2:  84 | Result: MISSED (NAT DUP)
    T-41 | SEQ: 61214 | POS:138 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-40 | SEQ: 61215 | POS:139 | [   WAITING  ] | [accumula|accumula|coin    ]
    T-39 | SEQ: 61216 | POS:140 | [   WAITING  ] | [coin    |steal   |shield  ]
    T-38 | SEQ: 61217 | POS:141 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-37 | SEQ: 61218 | POS:142 | [R01_COMBO   ] | [attack  |attack  |attack  ]
    T-36 | SEQ: 61219 | POS:143 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-35 | SEQ: 61220 | POS:144 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-34 | SEQ: 61221 | POS:145 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-33 | SEQ: 61222 | POS:146 | [   WAITING  ] | [attack  |attack  |goldSack]
    T-32 | SEQ: 61223 | POS:147 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-31 | SEQ: 61224 | POS:148 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-30 | SEQ: 61225 | POS:149 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-29 | SEQ: 61226 | POS:150 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-28 | SEQ: 61227 | POS:151 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-27 | SEQ: 61228 | POS:152 | [   WAITING  ] | [attack  |coin    |steal   ]
    T-26 | SEQ: 61229 | POS:153 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-25 | SEQ: 61230 | POS:154 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-24 | SEQ: 61231 | POS:155 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-23 | SEQ: 61232 | POS:156 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-22 | SEQ: 61233 | POS:157 | [   WAITING  ] | [steal   |steal   |steal   ]
    T-21 | SEQ: 61234 | POS:158 | [   WAITING  ] | [coin    |shield  |shield  ]
    T-20 | SEQ: 61235 | POS:159 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-19 | SEQ: 61236 | POS:160 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T-18 | SEQ: 61237 | POS:161 | [DEEP_PITY   ] | [attack  |coin    |shield  ]
    T-17 | SEQ: 61238 | POS:162 | [DEEP_PITY   ] | [attack  |coin    |spins   ]
    T-16 | SEQ: 61239 | POS:163 | [DEEP_PITY   ] | [steal   |steal   |steal   ]
    T-15 | SEQ: 61240 | POS:164 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T-14 | SEQ: 61241 | POS:165 | [DEEP_PITY   ] | [accumula|accumula|goldSack]
    T-13 | SEQ: 61242 | POS:166 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
