threshold,cycles_total,cycles_played,vt_hits,target_hits,vt_catch_total_pct,target_catch_total_pct,bets_total,bets_per_vt_hit,bets_per_target_hit,head,horizon
0.05,1449,1188,482,482,33.26432022084196,33.26432022084196,22374,46.41908713692946,46.41908713692946,ANY_VT,3
0.08,1449,855,396,396,27.32919254658385,27.32919254658385,13538,34.186868686868685,34.186868686868685,ANY_VT,3
0.1,1449,419,189,189,13.043478260869565,13.043478260869565,5737,30.354497354497354,30.354497354497354,ANY_VT,3
0.12,1449,174,75,75,5.175983436853002,5.175983436853002,2172,28.96,28.96,ANY_VT,3
0.15,1449,29,8,8,0.5521048999309869,0.5521048999309869,352,44.0,44.0,ANY_VT,3
0.2,1449,18,6,6,0.4140786749482402,0.4140786749482402,200,33.333333333333336,33.333333333333336,ANY_VT,3
0.25,1449,17,5,5,0.3450655624568668,0.3450655624568668,157,31.4,31.4,ANY_VT,3
0.3,1449,15,3,3,0.2070393374741201,0.2070393374741201,143,47.666666666666664,47.666666666666664,ANY_VT,3
0.4,1449,12,2,2,0.13802622498274672,0.13802622498274672,111,55.5,55.5,ANY_VT,3
0.05,1449,610,266,161,18.357487922705314,11.11111111111111,8666,32.578947368421055,53.82608695652174,ACC,3
0.08,1449,222,70,45,4.830917874396135,3.1055900621118013,3153,45.042857142857144,70.06666666666666,ACC,3
0.1,1449,57,20,11,1.3802622498274673,0.759144237405107,504,25.2,45.81818181818182,ACC,3
0.12,1449,37,10,6,0.6901311249137336,0.4140786749482402,339,33.9,56.5,ACC,3
0.15,1449,23,7,4,0.4830917874396135,0.27605244996549344,211,30.142857142857142,52.75,ACC,3
0.2,1449,13,3,2,0.2070393374741201,0.13802622498274672,103,34.333333333333336,51.5,ACC,3
0.25,1449,8,2,2,0.13802622498274672,0.13802622498274672,63,31.5,31.5,ACC,3
0.3,1449,8,2,2,0.13802622498274672,0.13802622498274672,62,31.0,31.0,ACC,3
0.4,1449,8,2,2,0.13802622498274672,0.13802622498274672,60,30.0,30.0,ACC,3
0.05,1449,521,209,143,14.423740510697032,9.86887508626639,7302,34.9377990430622,51.06293706293706,SPN,3
0.08,1449,96,37,27,2.5534851621808143,1.8633540372670807,1059,28.62162162162162,39.22222222222222,SPN,3
0.1,1449,56,18,10,1.2422360248447204,0.6901311249137336,586,32.55555555555556,58.6,SPN,3
0.12,1449,30,15,8,1.0351966873706004,0.5521048999309869,300,20.0,37.5,SPN,3
0.15,1449,15,7,4,0.4830917874396135,0.27605244996549344,165,23.571428571428573,41.25,SPN,3
0.2,1449,10,4,2,0.27605244996549344,0.13802622498274672,75,18.75,37.5,SPN,3
0.25,1449,8,2,1,0.13802622498274672,0.06901311249137336,50,25.0,50.0,SPN,3
0.3,1449,6,2,1,0.13802622498274672,0.06901311249137336,46,23.0,46.0,SPN,3
0.4,1449,5,2,1,0.13802622498274672,0.06901311249137336,18,9.0,18.0,SPN,3
0.05,1449,1341,458,458,31.608005521048998,31.608005521048998,27756,60.60262008733624,60.60262008733624,ANY_VT,5
0.08,1449,1220,487,487,33.609385783298826,33.609385783298826,23976,49.23203285420944,49.23203285420944,ANY_VT,5
0.1,1449,1035,466,466,32.16011042097998,32.16011042097998,18733,40.19957081545064,40.19957081545064,ANY_VT,5
0.12,1449,862,401,401,27.674258109040718,27.674258109040718,14253,35.54364089775561,35.54364089775561,ANY_VT,5
