feature,mean_importance
t,784.4
last_stl_triple_gap,729.95
last_shd_triple_gap,679.35
last_coin_triple_gap,619.25
last_atk_triple_gap,601.8
last_gs_triple_gap,549.9
acc_gap_lag4,499.95
vt_gap_lag1,461.6
acc_gap_mean3,453.35
spn_gap_lag4,428.55
spn_gap_lag2,421.65
acc_gap_std3,405.95
spn_gap_lag3,402.45
spn_gap_lag1,400.2
acc_gap_lag2,391.9
vt_gap_lag4,389.55
vt_gap_lag3,380.75
acc_gap_lag3,380.6
spn_gap_mean3,377.3
vt_gap_mean3,375.9
spn_gap_std3,374.3
vt_gap_std3,363.05
acc_gap_lag1,359.8
cooldown_age,357.95
vt_gap_lag2,330.35
cum_any_triples,325.85
last_any_triple_gap,172.95
cum_atk_triples,169.9
cum_gs_triple,164.95
cum_coin_triple,156.8
pvt_ACC,122.05
cum_shd_triples,113.45
cur_cat_id,113.15
density_any_last10,108.1
cooldown_last10,92.8
cat_lag3,83.8
density_any_last5,70.75
cum_stl_triples,70.35
cat_lag2,68.4
cat_lag1,60.55
last_real_triple_gap,29.5
cooldown_last5,28.0
pvt_SPN,22.8
reel_dup_last,4.25
reel_dup_streak,1.8
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
