feature,mean_importance
t,773.45
last_coin_triple_gap,657.4
last_stl_triple_gap,642.7
last_shd_triple_gap,607.95
last_gs_triple_gap,575.25
last_atk_triple_gap,516.0
vt_gap_lag1,490.45
acc_gap_lag4,483.35
spn_gap_lag3,475.85
spn_gap_lag4,463.9
spn_gap_std3,443.45
acc_gap_std3,434.05
acc_gap_lag3,410.0
acc_gap_lag2,408.85
spn_gap_lag1,408.8
vt_gap_std3,395.65
vt_gap_mean3,394.7
spn_gap_lag2,392.15
vt_gap_lag4,385.65
acc_gap_lag1,374.9
vt_gap_lag3,363.0
acc_gap_mean3,361.2
vt_gap_lag2,353.65
spn_gap_mean3,333.55
cum_any_triples,314.75
cooldown_age,263.75
cum_atk_triples,189.7
cum_gs_triple,186.55
cum_coin_triple,180.1
last_any_triple_gap,163.05
cum_shd_triples,146.7
cur_cat_id,123.35
density_any_last10,118.6
pvt_ACC,102.15
cooldown_last10,92.05
cat_lag3,90.3
cum_stl_triples,77.55
cat_lag2,74.3
density_any_last5,63.95
cat_lag1,54.2
cooldown_last5,46.85
last_real_triple_gap,27.55
pvt_SPN,27.05
reel_dup_last,9.05
reel_dup_streak,2.55
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
