feature,mean_importance
t,961.25
last_stl_triple_gap,729.625
last_shd_triple_gap,654.75
vt_gap_lag1,580.75
acc_gap_lag4,529.25
last_atk_triple_gap,518.75
vt_gap_mean3,500.25
last_gs_triple_gap,492.625
last_coin_triple_gap,488.125
spn_gap_lag3,460.75
acc_gap_std3,432.875
spn_gap_lag4,416.75
spn_gap_lag2,399.0
spn_gap_lag1,397.875
acc_gap_mean3,396.0
spn_gap_std3,377.75
vt_gap_lag3,376.75
acc_gap_lag1,368.375
vt_gap_lag4,366.5
acc_gap_lag3,364.625
vt_gap_std3,362.125
acc_gap_lag2,353.75
vt_gap_lag2,350.875
spn_gap_mean3,339.625
cum_any_triples,335.125
cum_gs_triple,282.375
cum_atk_triples,231.75
cooldown_age,231.0
cum_coin_triple,194.375
cum_shd_triples,168.5
pvt_ACC,158.125
cum_stl_triples,122.375
density_any_last10,99.5
cur_cat_id,73.375
last_any_triple_gap,71.75
cat_lag3,65.25
cat_lag1,55.875
cooldown_last10,45.375
cat_lag2,42.75
pvt_SPN,35.0
density_any_last5,34.875
last_real_triple_gap,14.75
cooldown_last5,14.75
reel_dup_last,3.125
reel_dup_streak,1.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
