feature,mean_importance
t,809.75
last_stl_triple_gap,776.75
last_coin_triple_gap,643.875
last_shd_triple_gap,626.25
last_atk_triple_gap,597.25
last_gs_triple_gap,586.625
vt_gap_lag1,500.125
acc_gap_lag4,419.75
vt_gap_mean3,415.75
spn_gap_lag4,414.375
spn_gap_lag3,403.875
vt_gap_lag4,390.25
spn_gap_std3,389.25
acc_gap_lag3,380.25
acc_gap_mean3,379.125
acc_gap_std3,376.0
vt_gap_std3,370.25
spn_gap_lag2,369.625
vt_gap_lag2,365.125
acc_gap_lag1,364.125
acc_gap_lag2,342.375
spn_gap_lag1,342.375
cooldown_age,341.5
spn_gap_mean3,339.25
cum_any_triples,335.875
vt_gap_lag3,325.5
last_any_triple_gap,198.125
cum_gs_triple,191.125
cum_atk_triples,172.125
cur_cat_id,152.5
cum_coin_triple,147.625
cat_lag3,141.0
cum_shd_triples,138.75
density_any_last10,122.75
cat_lag2,121.375
cum_stl_triples,99.75
cooldown_last10,88.875
cat_lag1,88.0
density_any_last5,77.625
pvt_ACC,49.25
cooldown_last5,32.0
last_real_triple_gap,31.125
reel_dup_last,18.875
pvt_SPN,16.125
reel_dup_streak,7.75
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
