feature,mean_importance
t,892.375
last_stl_triple_gap,803.375
last_shd_triple_gap,649.625
last_coin_triple_gap,642.25
last_gs_triple_gap,606.625
last_atk_triple_gap,554.5
vt_gap_lag1,475.375
acc_gap_lag4,442.75
spn_gap_lag3,415.375
acc_gap_lag3,410.875
spn_gap_lag1,409.0
spn_gap_lag4,407.125
acc_gap_std3,402.5
spn_gap_lag2,401.875
spn_gap_std3,398.625
vt_gap_mean3,396.375
acc_gap_lag1,390.375
vt_gap_std3,366.625
vt_gap_lag4,359.5
vt_gap_lag2,355.5
acc_gap_lag2,354.375
cum_any_triples,347.375
vt_gap_lag3,338.875
spn_gap_mean3,321.375
acc_gap_mean3,318.875
cooldown_age,269.625
cum_atk_triples,184.25
cum_gs_triple,175.125
cum_shd_triples,169.25
cum_coin_triple,168.75
last_any_triple_gap,147.0
cur_cat_id,133.125
density_any_last10,115.75
pvt_ACC,107.625
cat_lag1,94.375
cat_lag3,88.5
cat_lag2,83.5
density_any_last5,77.0
cum_stl_triples,71.5
cooldown_last10,68.125
cooldown_last5,30.125
last_real_triple_gap,25.625
pvt_SPN,20.375
reel_dup_last,6.25
reel_dup_streak,2.625
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
