feature,mean_importance
t,1041.5
last_shd_triple_gap,736.0
last_stl_triple_gap,700.5
last_atk_triple_gap,563.0
last_gs_triple_gap,537.3333333333334
vt_gap_lag1,507.5
acc_gap_lag4,475.8333333333333
last_coin_triple_gap,473.8333333333333
vt_gap_lag4,468.5
acc_gap_lag2,432.1666666666667
spn_gap_lag2,430.6666666666667
vt_gap_lag3,407.8333333333333
vt_gap_lag2,393.5
spn_gap_std3,391.5
acc_gap_std3,390.5
spn_gap_lag4,389.3333333333333
spn_gap_lag1,389.3333333333333
vt_gap_mean3,376.3333333333333
cum_any_triples,369.5
spn_gap_lag3,363.0
acc_gap_lag3,357.6666666666667
acc_gap_mean3,331.5
vt_gap_std3,325.8333333333333
acc_gap_lag1,302.0
spn_gap_mean3,300.5
cooldown_age,279.1666666666667
cum_gs_triple,258.5
cum_atk_triples,237.83333333333334
cum_coin_triple,204.33333333333334
pvt_ACC,131.0
cum_shd_triples,118.0
cur_cat_id,109.83333333333333
last_any_triple_gap,102.83333333333333
cum_stl_triples,95.5
density_any_last10,83.66666666666667
cooldown_last10,73.33333333333333
cat_lag1,73.0
cat_lag2,72.5
cat_lag3,59.5
density_any_last5,47.833333333333336
cooldown_last5,37.166666666666664
pvt_SPN,32.666666666666664
last_real_triple_gap,20.833333333333332
reel_dup_last,5.333333333333333
reel_dup_streak,2.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
