feature,mean_importance
t,903.0
last_shd_triple_gap,690.6666666666666
last_stl_triple_gap,662.3333333333334
last_coin_triple_gap,623.6666666666666
last_gs_triple_gap,614.8333333333334
last_atk_triple_gap,546.6666666666666
vt_gap_lag1,509.6666666666667
vt_gap_lag4,454.1666666666667
acc_gap_lag4,446.5
spn_gap_lag4,425.0
spn_gap_lag2,424.0
spn_gap_std3,418.0
vt_gap_std3,413.3333333333333
acc_gap_lag2,393.8333333333333
acc_gap_lag3,392.8333333333333
vt_gap_mean3,392.6666666666667
spn_gap_lag3,391.0
vt_gap_lag2,386.1666666666667
acc_gap_std3,378.1666666666667
vt_gap_lag3,374.8333333333333
spn_gap_lag1,368.3333333333333
acc_gap_lag1,359.1666666666667
cum_any_triples,352.1666666666667
spn_gap_mean3,329.0
acc_gap_mean3,325.5
cooldown_age,289.3333333333333
cum_atk_triples,234.5
cum_gs_triple,211.83333333333334
cum_coin_triple,181.66666666666666
cum_shd_triples,150.5
last_any_triple_gap,126.0
density_any_last10,118.66666666666667
cur_cat_id,109.83333333333333
cooldown_last10,102.16666666666667
cum_stl_triples,78.33333333333333
cat_lag2,59.0
cat_lag3,57.333333333333336
cat_lag1,48.666666666666664
density_any_last5,46.666666666666664
pvt_ACC,36.833333333333336
cooldown_last5,30.833333333333332
last_real_triple_gap,18.166666666666668
pvt_SPN,17.5
reel_dup_streak,3.5
reel_dup_last,3.1666666666666665
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
