feature,mean_importance
t,950.1666666666666
last_coin_triple_gap,711.8333333333334
last_stl_triple_gap,700.5
last_shd_triple_gap,666.3333333333334
last_gs_triple_gap,634.6666666666666
last_atk_triple_gap,580.0
acc_gap_lag4,423.6666666666667
vt_gap_lag4,419.3333333333333
spn_gap_lag4,418.3333333333333
vt_gap_lag1,417.5
vt_gap_std3,406.1666666666667
spn_gap_std3,400.1666666666667
spn_gap_lag3,398.1666666666667
spn_gap_lag1,386.8333333333333
spn_gap_lag2,381.6666666666667
acc_gap_lag3,375.8333333333333
acc_gap_lag2,370.1666666666667
acc_gap_std3,349.1666666666667
acc_gap_lag1,345.3333333333333
vt_gap_lag2,339.5
vt_gap_mean3,336.1666666666667
vt_gap_lag3,327.8333333333333
spn_gap_mean3,323.3333333333333
cum_any_triples,317.0
cooldown_age,298.5
acc_gap_mean3,297.3333333333333
cum_atk_triples,197.66666666666666
cur_cat_id,186.83333333333334
cum_coin_triple,180.5
cum_gs_triple,173.83333333333334
last_any_triple_gap,163.83333333333334
density_any_last10,141.0
cum_shd_triples,138.0
cat_lag2,109.83333333333333
cum_stl_triples,101.16666666666667
cat_lag1,97.16666666666667
pvt_ACC,94.5
cat_lag3,94.5
cooldown_last10,93.33333333333333
density_any_last5,53.666666666666664
cooldown_last5,38.666666666666664
last_real_triple_gap,25.333333333333332
pvt_SPN,20.833333333333332
reel_dup_streak,7.166666666666667
reel_dup_last,6.666666666666667
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
