threshold,cycles_total,cycles_played,vt_hits,target_hits,vt_catch_total_pct,target_catch_total_pct,bets_total,bets_per_vt_hit,bets_per_target_hit,head,horizon
0.05,329,277,107,107,32.52279635258358,32.52279635258358,5220,48.78504672897196,48.78504672897196,ANY_VT,3
0.08,329,196,100,100,30.3951367781155,30.3951367781155,2799,27.99,27.99,ANY_VT,3
0.1,329,141,70,70,21.27659574468085,21.27659574468085,1943,27.757142857142856,27.757142857142856,ANY_VT,3
0.12,329,75,30,30,9.118541033434651,9.118541033434651,886,29.533333333333335,29.533333333333335,ANY_VT,3
0.15,329,41,13,13,3.951367781155015,3.951367781155015,484,37.23076923076923,37.23076923076923,ANY_VT,3
0.2,329,29,10,10,3.0395136778115504,3.0395136778115504,293,29.3,29.3,ANY_VT,3
0.25,329,5,1,1,0.303951367781155,0.303951367781155,45,45.0,45.0,ANY_VT,3
0.3,329,5,1,1,0.303951367781155,0.303951367781155,43,43.0,43.0,ANY_VT,3
0.4,329,4,1,1,0.303951367781155,0.303951367781155,31,31.0,31.0,ANY_VT,3
0.05,329,94,34,18,10.33434650455927,5.47112462006079,1166,34.294117647058826,64.77777777777777,ACC,3
0.08,329,31,7,2,2.127659574468085,0.60790273556231,389,55.57142857142857,194.5,ACC,3
0.1,329,19,2,0,0.60790273556231,0.0,145,72.5,,ACC,3
0.12,329,16,2,0,0.60790273556231,0.0,124,62.0,,ACC,3
0.15,329,12,2,0,0.60790273556231,0.0,104,52.0,,ACC,3
0.2,329,12,2,0,0.60790273556231,0.0,104,52.0,,ACC,3
0.25,329,0,0,0,0.0,0.0,0,,,ACC,3
0.3,329,0,0,0,0.0,0.0,0,,,ACC,3
0.4,329,0,0,0,0.0,0.0,0,,,ACC,3
0.05,329,155,69,35,20.972644376899694,10.638297872340425,2066,29.942028985507246,59.02857142857143,SPN,3
0.08,329,108,47,25,14.285714285714286,7.598784194528875,1233,26.23404255319149,49.32,SPN,3
0.1,329,34,6,5,1.8237082066869301,1.5197568389057752,256,42.666666666666664,51.2,SPN,3
0.12,329,31,6,5,1.8237082066869301,1.5197568389057752,245,40.833333333333336,49.0,SPN,3
0.15,329,31,6,5,1.8237082066869301,1.5197568389057752,244,40.666666666666664,48.8,SPN,3
0.2,329,26,6,5,1.8237082066869301,1.5197568389057752,175,29.166666666666668,35.0,SPN,3
0.25,329,6,2,2,0.60790273556231,0.60790273556231,74,37.0,37.0,SPN,3
0.3,329,0,0,0,0.0,0.0,0,,,SPN,3
0.4,329,0,0,0,0.0,0.0,0,,,SPN,3
0.05,329,311,95,95,28.875379939209726,28.875379939209726,6594,69.41052631578947,69.41052631578947,ANY_VT,5
0.08,329,264,99,99,30.091185410334347,30.091185410334347,4829,48.77777777777778,48.77777777777778,ANY_VT,5
0.1,329,207,97,97,29.48328267477204,29.48328267477204,3458,35.649484536082475,35.649484536082475,ANY_VT,5
0.12,329,204,94,94,28.571428571428573,28.571428571428573,3400,36.170212765957444,36.170212765957444,ANY_VT,5
0.15,329,150,70,70,21.27659574468085,21.27659574468085,1942,27.742857142857144,27.742857142857144,ANY_VT,5
0.2,329,28,9,9,2.735562310030395,2.735562310030395,367,40.77777777777778,40.77777777777778,ANY_VT,5
0.25,329,18,5,5,1.5197568389057752,1.5197568389057752,184,36.8,36.8,ANY_VT,5
0.3,329,15,3,3,0.9118541033434651,0.9118541033434651,157,52.333333333333336,52.333333333333336,ANY_VT,5
0.4,329,14,3,3,0.9118541033434651,0.9118541033434651,144,48.0,48.0,ANY_VT,5
0.05,329,143,57,25,17.325227963525837,7.598784194528875,2066,36.24561403508772,82.64,ACC,5
0.08,329,87,34,21,10.33434650455927,6.382978723404255,1163,34.205882352941174,55.38095238095238,ACC,5
0.1,329,66,21,12,6.382978723404255,3.6474164133738602,861,41.0,71.75,ACC,5
0.12,329,45,19,11,5.775075987841945,3.3434650455927053,477,25.105263157894736,43.36363636363637,ACC,5
0.15,329,12,2,1,0.60790273556231,0.303951367781155,117,58.5,117.0,ACC,5
0.2,329,12,2,1,0.60790273556231,0.303951367781155,113,56.5,113.0,ACC,5
0.25,329,10,1,0,0.303951367781155,0.0,96,96.0,,ACC,5
0.3,329,5,1,0,0.303951367781155,0.0,65,65.0,,ACC,5
0.4,329,4,1,0,0.303951367781155,0.0,63,63.0,,ACC,5
0.05,329,275,112,61,34.04255319148936,18.541033434650455,4994,44.589285714285715,81.8688524590164,SPN,5
0.08,329,157,70,38,21.27659574468085,11.55015197568389,2213,31.614285714285714,58.23684210526316,SPN,5
0.1,329,101,38,23,11.55015197568389,6.990881458966565,1151,30.289473684210527,50.04347826086956,SPN,5
0.12,329,91,36,22,10.94224924012158,6.686930091185411,1026,28.5,46.63636363636363,SPN,5
0.15,329,36,14,10,4.25531914893617,3.0395136778115504,285,20.357142857142858,28.5,SPN,5
0.2,329,34,14,10,4.25531914893617,3.0395136778115504,270,19.285714285714285,27.0,SPN,5
0.25,329,7,3,3,0.9118541033434651,0.9118541033434651,66,22.0,22.0,SPN,5
0.3,329,7,2,2,0.60790273556231,0.60790273556231,58,29.0,29.0,SPN,5
0.4,329,5,3,2,0.9118541033434651,0.60790273556231,32,10.666666666666666,16.0,SPN,5
0.05,329,324,93,93,28.267477203647417,28.267477203647417,7059,75.90322580645162,75.90322580645162,ANY_VT,10
0.08,329,324,101,101,30.699088145896656,30.699088145896656,6936,68.67326732673267,68.67326732673267,ANY_VT,10
0.1,329,312,92,92,27.96352583586626,27.96352583586626,6657,72.3586956521739,72.3586956521739,ANY_VT,10
0.12,329,297,100,100,30.3951367781155,30.3951367781155,6121,61.21,61.21,ANY_VT,10
0.15,329,272,101,101,30.699088145896656,30.699088145896656,5205,51.53465346534654,51.53465346534654,ANY_VT,10
0.2,329,213,96,96,29.179331306990882,29.179331306990882,3705,38.59375,38.59375,ANY_VT,10
0.25,329,183,87,87,26.443768996960486,26.443768996960486,3139,36.08045977011494,36.08045977011494,ANY_VT,10
0.3,329,113,58,58,17.62917933130699,17.62917933130699,1596,27.517241379310345,27.517241379310345,ANY_VT,10
0.4,329,19,5,5,1.5197568389057752,1.5197568389057752,279,55.8,55.8,ANY_VT,10
0.05,329,292,81,36,24.620060790273556,10.94224924012158,5968,73.67901234567901,165.77777777777777,ACC,10
0.08,329,168,72,37,21.88449848024316,11.246200607902736,2671,37.09722222222222,72.1891891891892,ACC,10
0.1,329,143,65,36,19.756838905775076,10.94224924012158,2229,34.292307692307695,61.916666666666664,ACC,10
0.12,329,98,40,25,12.158054711246201,7.598784194528875,1601,40.025,64.04,ACC,10
0.15,329,97,36,23,10.94224924012158,6.990881458966565,1518,42.166666666666664,66.0,ACC,10
0.2,329,56,14,9,4.25531914893617,2.735562310030395,858,61.285714285714285,95.33333333333333,ACC,10
0.25,329,28,8,5,2.43161094224924,1.5197568389057752,406,50.75,81.2,ACC,10
0.3,329,28,8,5,2.43161094224924,1.5197568389057752,405,50.625,81.0,ACC,10
0.4,329,9,4,1,1.21580547112462,0.303951367781155,128,32.0,128.0,ACC,10
0.05,329,317,93,54,28.267477203647417,16.41337386018237,6807,73.19354838709677,126.05555555555556,SPN,10
0.08,329,278,91,48,27.659574468085108,14.589665653495441,5767,63.37362637362637,120.14583333333333,SPN,10
0.1,329,273,102,55,31.003039513677813,16.717325227963524,5278,51.745098039215684,95.96363636363637,SPN,10
0.12,329,258,109,59,33.130699088145896,17.933130699088146,4730,43.39449541284404,80.16949152542372,SPN,10
0.15,329,124,59,31,17.933130699088146,9.422492401215806,1743,29.54237288135593,56.225806451612904,SPN,10
0.2,329,33,12,8,3.6474164133738602,2.43161094224924,429,35.75,53.625,SPN,10
0.25,329,30,13,9,3.951367781155015,2.735562310030395,372,28.615384615384617,41.333333333333336,SPN,10
0.3,329,24,11,8,3.3434650455927053,2.43161094224924,316,28.727272727272727,39.5,SPN,10
0.4,329,18,8,7,2.43161094224924,2.127659574468085,209,26.125,29.857142857142858,SPN,10
