feature,mean_importance
t,909.5
last_shd_triple_gap,867.6666666666666
last_coin_triple_gap,848.1666666666666
last_stl_triple_gap,845.5
last_gs_triple_gap,802.6666666666666
last_atk_triple_gap,760.6666666666666
cooldown_age,485.8333333333333
vt_gap_lag1,349.5
acc_gap_lag4,337.0
acc_gap_lag2,314.0
spn_gap_lag4,294.5
vt_gap_std3,294.5
acc_gap_std3,294.1666666666667
vt_gap_lag3,294.0
acc_gap_lag3,290.6666666666667
acc_gap_mean3,289.8333333333333
spn_gap_lag1,289.6666666666667
vt_gap_mean3,283.8333333333333
cur_cat_id,281.3333333333333
vt_gap_lag4,280.1666666666667
cum_any_triples,279.8333333333333
vt_gap_lag2,277.8333333333333
spn_gap_lag2,267.1666666666667
spn_gap_lag3,266.5
acc_gap_lag1,258.3333333333333
cat_lag3,256.0
spn_gap_mean3,250.66666666666666
spn_gap_std3,238.33333333333334
last_any_triple_gap,231.5
cat_lag2,218.16666666666666
cat_lag1,203.0
density_any_last10,196.16666666666666
cum_atk_triples,177.83333333333334
cum_gs_triple,170.83333333333334
cum_coin_triple,141.33333333333334
density_any_last5,123.83333333333333
cooldown_last10,110.83333333333333
pvt_ACC,89.83333333333333
cum_shd_triples,88.0
cum_stl_triples,82.33333333333333
cooldown_last5,55.833333333333336
last_real_triple_gap,38.833333333333336
pvt_SPN,28.5
reel_dup_last,22.166666666666668
reel_dup_streak,13.166666666666666
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
