feature,mean_importance
t,876.8333333333334
last_coin_triple_gap,844.8333333333334
last_stl_triple_gap,809.5
last_shd_triple_gap,783.0
last_atk_triple_gap,703.3333333333334
last_gs_triple_gap,663.5
vt_gap_lag1,480.5
vt_gap_mean3,387.3333333333333
cooldown_age,368.0
spn_gap_lag3,362.5
spn_gap_std3,357.5
spn_gap_lag4,341.3333333333333
vt_gap_lag2,337.5
spn_gap_lag2,336.5
acc_gap_lag4,333.3333333333333
vt_gap_std3,330.6666666666667
acc_gap_lag3,327.0
cum_any_triples,321.8333333333333
acc_gap_lag2,315.0
vt_gap_lag4,307.6666666666667
acc_gap_std3,305.1666666666667
acc_gap_mean3,300.6666666666667
spn_gap_lag1,294.8333333333333
vt_gap_lag3,287.0
acc_gap_lag1,275.0
spn_gap_mean3,262.5
cur_cat_id,242.83333333333334
cat_lag3,217.66666666666666
last_any_triple_gap,213.66666666666666
cum_gs_triple,172.83333333333334
cum_coin_triple,170.66666666666666
cat_lag2,167.0
cat_lag1,165.66666666666666
cum_atk_triples,156.0
density_any_last10,137.83333333333334
cooldown_last10,108.66666666666667
cum_shd_triples,102.5
cum_stl_triples,89.83333333333333
density_any_last5,71.83333333333333
cooldown_last5,61.333333333333336
pvt_ACC,38.166666666666664
last_real_triple_gap,30.333333333333332
pvt_SPN,22.833333333333332
reel_dup_last,11.5
reel_dup_streak,6.0
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
