cycle_id,account,session_id,cycle_start_seq,cycle_end_seq,cycle_end_symbol,seq,t,spins_to_vt,prev_vt_type,cum_any_triples,cum_acc_triples,cum_spn_triples,cum_atk_triples,cum_shd_triples,cum_stl_triples,cum_coin_triple,cum_gs_triple,last_any_triple_gap,last_real_triple_gap,last_acc_triple_gap,last_spn_triple_gap,last_atk_triple_gap,last_shd_triple_gap,last_stl_triple_gap,last_coin_triple_gap,last_gs_triple_gap,cooldown_age,density_any_last5,density_any_last10,cooldown_last5,cooldown_last10,reel_dup_last,reel_dup_streak,cur_cat_id,cat_lag1,cat_lag2,cat_lag3,y_any_next3,y_acc_next3,y_spn_next3,y_any_next5,y_acc_next5,y_spn_next5,y_any_next10,y_acc_next10,y_spn_next10,acc_gap_lag1,acc_gap_lag2,acc_gap_lag3,acc_gap_lag4,spn_gap_lag1,spn_gap_lag2,spn_gap_lag3,spn_gap_lag4,vt_gap_lag1,vt_gap_lag2,vt_gap_lag3,vt_gap_lag4,acc_gap_mean3,acc_gap_std3,spn_gap_mean3,spn_gap_std3,vt_gap_mean3,vt_gap_std3,pvt_ACC,pvt_SPN
1121,Nick,Nick|spin_history_2026-04-04.csv,60970,60976,SPN,60970,0,6,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,13,-1,-1,-1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,False,True
1121,Nick,Nick|spin_history_2026-04-04.csv,60970,60976,SPN,60971,1,5,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,2,13,-1,-1,0,0,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,False,True
1121,Nick,Nick|spin_history_2026-04-04.csv,60970,60976,SPN,60972,2,4,SPN,1,0,0,1,0,0,0,0,1.0,1.0,,,1.0,,,,,1.0,1,1,1,1,0,0,12,2,13,-1,0,0,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,False,True
1121,Nick,Nick|spin_history_2026-04-04.csv,60970,60976,SPN,60973,3,3,SPN,1,0,0,1,0,0,0,0,2.0,2.0,,,2.0,,,,,2.0,1,1,1,1,0,0,2,12,2,13,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,False,True
1121,Nick,Nick|spin_history_2026-04-04.csv,60970,60976,SPN,60974,4,2,SPN,2,0,0,2,0,0,0,0,1.0,1.0,,,1.0,,,,,1.0,2,2,2,2,1,1,2,2,12,2,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,False,True
1121,Nick,Nick|spin_history_2026-04-04.csv,60970,60976,SPN,60975,5,1,SPN,3,0,0,3,0,0,0,0,1.0,1.0,,,1.0,,,,,1.0,3,3,3,3,0,0,13,2,2,12,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60977,0,14,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,14,-1,-1,-1,0,0,0,0,0,0,0,0,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60978,1,13,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,12,14,-1,-1,0,0,0,0,0,0,0,0,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60979,2,12,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,14,12,14,-1,0,0,0,0,0,0,0,0,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60980,3,11,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,14,14,12,14,0,0,0,0,0,0,0,0,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60981,4,10,SPN,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,6,14,14,12,0,0,0,0,0,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60982,5,9,SPN,1,0,0,0,0,0,0,1,1.0,1.0,,,,,,,1.0,,1,1,0,0,1,1,6,6,14,14,0,0,0,0,0,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60983,6,8,SPN,2,0,0,0,0,0,0,2,1.0,1.0,,,,,,,1.0,,2,2,0,0,0,0,5,6,6,14,0,0,0,0,0,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60984,7,7,SPN,3,0,0,0,0,0,1,2,1.0,1.0,,,,,,1.0,2.0,,3,3,0,0,0,0,3,5,6,6,0,0,0,0,0,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60985,8,6,SPN,4,0,0,0,1,0,1,2,1.0,1.0,,,,1.0,,2.0,3.0,1.0,4,4,1,1,0,0,14,3,5,6,0,0,0,0,0,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60986,9,5,SPN,4,0,0,0,1,0,1,2,2.0,2.0,,,,2.0,,3.0,4.0,2.0,4,4,1,1,0,0,7,14,3,5,0,0,0,1,1,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60987,10,4,SPN,4,0,0,0,1,0,1,2,3.0,3.0,,,,3.0,,4.0,5.0,3.0,3,4,1,1,0,0,12,7,14,3,0,0,0,1,1,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60988,11,3,SPN,4,0,0,0,1,0,1,2,4.0,4.0,,,,4.0,,5.0,6.0,4.0,2,4,1,1,0,0,14,12,7,14,1,1,0,1,1,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60989,12,2,SPN,4,0,0,0,1,0,1,2,5.0,5.0,,,,5.0,,6.0,7.0,5.0,1,4,1,1,0,0,11,14,12,7,1,1,0,1,1,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
1122,Nick,Nick|spin_history_2026-04-04.csv,60977,60991,ACC,60990,13,1,SPN,4,0,0,0,1,0,1,2,6.0,6.0,,,,6.0,,7.0,8.0,6.0,0,4,0,1,0,0,4,11,14,12,1,1,0,1,1,0,1,1,0,,,,,7.0,,,,7.0,,,,,,7.0,,7.0,,False,True
