feature,mean_importance
t,768.3
vt_gap_lag1,668.4
spn_gap_lag3,585.5
acc_gap_lag4,573.3
spn_gap_lag4,552.45
vt_gap_mean3,530.95
spn_gap_lag2,510.95
acc_gap_lag2,510.8
acc_gap_mean3,508.9
acc_gap_std3,505.25
spn_gap_lag1,493.3
vt_gap_lag4,489.25
acc_gap_lag3,488.8
spn_gap_std3,484.75
last_stl_triple_gap,472.95
vt_gap_lag2,463.6
vt_gap_std3,459.15
spn_gap_mean3,458.3
vt_gap_lag3,437.4
cum_any_triples,427.05
acc_gap_lag1,420.7
last_shd_triple_gap,388.1
cum_gs_triple,306.45
last_atk_triple_gap,296.0
last_coin_triple_gap,273.7
last_gs_triple_gap,267.05
cum_coin_triple,260.15
cum_atk_triples,259.2
cum_shd_triples,205.25
cum_stl_triples,140.1
cooldown_age,86.65
density_any_last10,62.2
pvt_ACC,48.0
cooldown_last10,39.9
last_any_triple_gap,13.55
pvt_SPN,12.7
cur_cat_id,10.6
cooldown_last5,6.5
density_any_last5,5.75
cat_lag3,3.9
last_real_triple_gap,1.85
cat_lag2,1.5
cat_lag1,0.65
reel_dup_streak,0.15
reel_dup_last,0.05
last_acc_triple_gap,0.0
last_spn_triple_gap,0.0
cum_spn_triples,0.0
cum_acc_triples,0.0
