threshold,cycles_total,cycles_played,vt_hits,target_hits,vt_catch_total_pct,target_catch_total_pct,bets_total,bets_per_vt_hit,bets_per_target_hit,head,horizon
0.05,614,501,201,201,32.73615635179153,32.73615635179153,9233,45.93532338308458,45.93532338308458,ANY_VT,3
0.08,614,303,140,140,22.80130293159609,22.80130293159609,4509,32.207142857142856,32.207142857142856,ANY_VT,3
0.1,614,155,66,66,10.749185667752442,10.749185667752442,2176,32.96969696969697,32.96969696969697,ANY_VT,3
0.12,614,57,24,24,3.9087947882736156,3.9087947882736156,779,32.458333333333336,32.458333333333336,ANY_VT,3
0.15,614,11,5,5,0.8143322475570033,0.8143322475570033,105,21.0,21.0,ANY_VT,3
0.2,614,8,4,4,0.6514657980456026,0.6514657980456026,63,15.75,15.75,ANY_VT,3
0.25,614,6,3,3,0.48859934853420195,0.48859934853420195,49,16.333333333333332,16.333333333333332,ANY_VT,3
0.3,614,3,2,2,0.3257328990228013,0.3257328990228013,30,15.0,15.0,ANY_VT,3
0.4,614,3,2,2,0.3257328990228013,0.3257328990228013,30,15.0,15.0,ANY_VT,3
0.05,614,200,76,48,12.37785016286645,7.817589576547231,2547,33.51315789473684,53.0625,ACC,3
0.08,614,65,22,16,3.583061889250814,2.6058631921824102,675,30.681818181818183,42.1875,ACC,3
0.1,614,21,4,2,0.6514657980456026,0.3257328990228013,236,59.0,118.0,ACC,3
0.12,614,4,0,0,0.0,0.0,79,,,ACC,3
0.15,614,3,0,0,0.0,0.0,26,,,ACC,3
0.2,614,2,0,0,0.0,0.0,14,,,ACC,3
0.25,614,2,0,0,0.0,0.0,12,,,ACC,3
0.3,614,1,0,0,0.0,0.0,11,,,ACC,3
0.4,614,1,0,0,0.0,0.0,10,,,ACC,3
0.05,614,230,99,65,16.123778501628664,10.586319218241043,3026,30.565656565656564,46.55384615384615,SPN,3
0.08,614,5,3,1,0.48859934853420195,0.16286644951140064,37,12.333333333333334,37.0,SPN,3
0.1,614,4,3,1,0.48859934853420195,0.16286644951140064,21,7.0,21.0,SPN,3
0.12,614,4,3,1,0.48859934853420195,0.16286644951140064,20,6.666666666666667,20.0,SPN,3
0.15,614,4,3,1,0.48859934853420195,0.16286644951140064,19,6.333333333333333,19.0,SPN,3
0.2,614,1,1,0,0.16286644951140064,0.0,13,13.0,,SPN,3
0.25,614,1,1,0,0.16286644951140064,0.0,13,13.0,,SPN,3
0.3,614,1,1,0,0.16286644951140064,0.0,13,13.0,,SPN,3
0.4,614,1,0,0,0.0,0.0,10,,,SPN,3
0.05,614,586,197,197,32.08469055374593,32.08469055374593,12101,61.4263959390863,61.4263959390863,ANY_VT,5
0.08,614,507,185,185,30.13029315960912,30.13029315960912,9853,53.25945945945946,53.25945945945946,ANY_VT,5
0.1,614,415,174,174,28.338762214983714,28.338762214983714,7633,43.867816091954026,43.867816091954026,ANY_VT,5
0.12,614,324,152,152,24.7557003257329,24.7557003257329,5175,34.046052631578945,34.046052631578945,ANY_VT,5
0.15,614,216,116,116,18.892508143322477,18.892508143322477,3063,26.405172413793103,26.405172413793103,ANY_VT,5
0.2,614,41,23,23,3.745928338762215,3.745928338762215,570,24.782608695652176,24.782608695652176,ANY_VT,5
0.25,614,4,2,2,0.3257328990228013,0.3257328990228013,33,16.5,16.5,ANY_VT,5
0.3,614,3,0,0,0.0,0.0,30,,,ANY_VT,5
0.4,614,2,0,0,0.0,0.0,26,,,ANY_VT,5
0.05,614,324,125,73,20.35830618892508,11.889250814332248,5416,43.328,74.1917808219178,ACC,5
0.08,614,209,88,55,14.332247557003257,8.957654723127035,2821,32.05681818181818,51.29090909090909,ACC,5
0.1,614,108,37,22,6.026058631921824,3.583061889250814,1321,35.7027027027027,60.04545454545455,ACC,5
0.12,614,66,22,15,3.583061889250814,2.44299674267101,709,32.22727272727273,47.266666666666666,ACC,5
0.15,614,35,15,12,2.44299674267101,1.9543973941368078,375,25.0,31.25,ACC,5
0.2,614,15,7,5,1.1400651465798046,0.8143322475570033,131,18.714285714285715,26.2,ACC,5
0.25,614,12,6,5,0.9771986970684039,0.8143322475570033,111,18.5,22.2,ACC,5
0.3,614,1,0,0,0.0,0.0,3,,,ACC,5
0.4,614,1,0,0,0.0,0.0,3,,,ACC,5
0.05,614,449,172,105,28.01302931596091,17.10097719869707,8264,48.04651162790697,78.70476190476191,SPN,5
0.08,614,178,70,47,11.400651465798045,7.6547231270358305,2376,33.94285714285714,50.5531914893617,SPN,5
0.1,614,125,44,26,7.166123778501628,4.234527687296417,1769,40.20454545454545,68.03846153846153,SPN,5
0.12,614,8,4,2,0.6514657980456026,0.3257328990228013,54,13.5,27.0,SPN,5
0.15,614,8,4,2,0.6514657980456026,0.3257328990228013,44,11.0,22.0,SPN,5
0.2,614,1,0,0,0.0,0.0,25,,,SPN,5
0.25,614,0,0,0,0.0,0.0,0,,,SPN,5
0.3,614,0,0,0,0.0,0.0,0,,,SPN,5
0.4,614,0,0,0,0.0,0.0,0,,,SPN,5
0.05,614,600,189,189,30.781758957654723,30.781758957654723,12645,66.9047619047619,66.9047619047619,ANY_VT,10
0.08,614,582,194,194,31.596091205211728,31.596091205211728,12066,62.1958762886598,62.1958762886598,ANY_VT,10
0.1,614,576,191,191,31.107491856677523,31.107491856677523,12012,62.890052356020945,62.890052356020945,ANY_VT,10
0.12,614,542,192,192,31.270358306188925,31.270358306188925,10994,57.260416666666664,57.260416666666664,ANY_VT,10
0.15,614,472,197,197,32.08469055374593,32.08469055374593,9094,46.16243654822335,46.16243654822335,ANY_VT,10
0.2,614,385,181,181,29.478827361563518,29.478827361563518,6896,38.09944751381215,38.09944751381215,ANY_VT,10
0.25,614,231,126,126,20.521172638436482,20.521172638436482,3777,29.976190476190474,29.976190476190474,ANY_VT,10
0.3,614,166,91,91,14.82084690553746,14.82084690553746,2740,30.10989010989011,30.10989010989011,ANY_VT,10
0.4,614,8,4,4,0.6514657980456026,0.6514657980456026,126,31.5,31.5,ANY_VT,10
0.05,614,490,186,92,30.293159609120522,14.98371335504886,9533,51.25268817204301,103.6195652173913,ACC,10
0.08,614,425,179,90,29.153094462540718,14.657980456026058,7711,43.07821229050279,85.67777777777778,ACC,10
0.1,614,343,145,78,23.615635179153095,12.703583061889251,6011,41.4551724137931,77.06410256410257,ACC,10
0.12,614,231,99,61,16.123778501628664,9.93485342019544,3817,38.55555555555556,62.57377049180328,ACC,10
0.15,614,133,61,40,9.93485342019544,6.514657980456026,1878,30.78688524590164,46.95,ACC,10
0.2,614,111,52,36,8.469055374592834,5.863192182410423,1475,28.365384615384617,40.97222222222222,ACC,10
0.25,614,53,24,17,3.9087947882736156,2.768729641693811,640,26.666666666666668,37.64705882352941,ACC,10
0.3,614,30,15,9,2.44299674267101,1.4657980456026058,378,25.2,42.0,ACC,10
0.4,614,7,3,1,0.48859934853420195,0.16286644951140064,60,20.0,60.0,ACC,10
0.05,614,554,180,102,29.315960912052116,16.612377850162865,11351,63.06111111111111,111.2843137254902,SPN,10
0.08,614,457,174,108,28.338762214983714,17.58957654723127,8916,51.241379310344826,82.55555555555556,SPN,10
0.1,614,402,153,96,24.9185667752443,15.635179153094462,7762,50.73202614379085,80.85416666666667,SPN,10
0.12,614,307,136,84,22.149837133550488,13.680781758957655,5315,39.080882352941174,63.273809523809526,SPN,10
0.15,614,254,121,70,19.706840390879478,11.400651465798045,4164,34.413223140495866,59.48571428571429,SPN,10
0.2,614,63,30,19,4.88599348534202,3.0944625407166124,978,32.6,51.473684210526315,SPN,10
0.25,614,4,2,0,0.3257328990228013,0.0,73,36.5,,SPN,10
0.3,614,4,1,0,0.16286644951140064,0.0,51,51.0,,SPN,10
0.4,614,2,0,0,0.0,0.0,16,,,SPN,10
