threshold,cycles_total,cycles_played,vt_hits,target_hits,vt_catch_total_pct,target_catch_total_pct,bets_total,bets_per_vt_hit,bets_per_target_hit,head,horizon
0.05,506,354,140,140,27.66798418972332,27.66798418972332,6134,43.81428571428572,43.81428571428572,ANY_VT,3
0.08,506,147,51,51,10.079051383399209,10.079051383399209,1990,39.01960784313726,39.01960784313726,ANY_VT,3
0.1,506,41,10,10,1.976284584980237,1.976284584980237,426,42.6,42.6,ANY_VT,3
0.12,506,38,7,7,1.383399209486166,1.383399209486166,407,58.142857142857146,58.142857142857146,ANY_VT,3
0.15,506,4,1,1,0.1976284584980237,0.1976284584980237,36,36.0,36.0,ANY_VT,3
0.2,506,4,1,1,0.1976284584980237,0.1976284584980237,36,36.0,36.0,ANY_VT,3
0.25,506,3,1,1,0.1976284584980237,0.1976284584980237,35,35.0,35.0,ANY_VT,3
0.3,506,3,1,1,0.1976284584980237,0.1976284584980237,35,35.0,35.0,ANY_VT,3
0.4,506,3,1,1,0.1976284584980237,0.1976284584980237,35,35.0,35.0,ANY_VT,3
0.05,506,48,7,5,1.383399209486166,0.9881422924901185,465,66.42857142857143,93.0,ACC,3
0.08,506,10,5,3,0.9881422924901185,0.5928853754940712,97,19.4,32.333333333333336,ACC,3
0.1,506,10,5,3,0.9881422924901185,0.5928853754940712,97,19.4,32.333333333333336,ACC,3
0.12,506,10,5,3,0.9881422924901185,0.5928853754940712,96,19.2,32.0,ACC,3
0.15,506,10,5,3,0.9881422924901185,0.5928853754940712,96,19.2,32.0,ACC,3
0.2,506,3,0,0,0.0,0.0,33,,,ACC,3
0.25,506,3,0,0,0.0,0.0,33,,,ACC,3
0.3,506,3,0,0,0.0,0.0,33,,,ACC,3
0.4,506,0,0,0,0.0,0.0,0,,,ACC,3
0.05,506,51,14,11,2.766798418972332,2.1739130434782608,417,29.785714285714285,37.90909090909091,SPN,3
0.08,506,28,4,3,0.7905138339920948,0.5928853754940712,189,47.25,63.0,SPN,3
0.1,506,17,1,0,0.1976284584980237,0.0,125,125.0,,SPN,3
0.12,506,15,1,0,0.1976284584980237,0.0,122,122.0,,SPN,3
0.15,506,12,1,0,0.1976284584980237,0.0,114,114.0,,SPN,3
0.2,506,10,1,0,0.1976284584980237,0.0,74,74.0,,SPN,3
0.25,506,9,1,0,0.1976284584980237,0.0,66,66.0,,SPN,3
0.3,506,7,1,0,0.1976284584980237,0.0,52,52.0,,SPN,3
0.4,506,7,1,0,0.1976284584980237,0.0,48,48.0,,SPN,3
0.05,506,481,163,163,32.21343873517787,32.21343873517787,9983,61.24539877300614,61.24539877300614,ANY_VT,5
0.08,506,428,173,173,34.1897233201581,34.1897233201581,8179,47.27745664739884,47.27745664739884,ANY_VT,5
0.1,506,332,140,140,27.66798418972332,27.66798418972332,5511,39.364285714285714,39.364285714285714,ANY_VT,5
0.12,506,201,75,75,14.82213438735178,14.82213438735178,2770,36.93333333333333,36.93333333333333,ANY_VT,5
0.15,506,123,49,49,9.683794466403162,9.683794466403162,1560,31.836734693877553,31.836734693877553,ANY_VT,5
0.2,506,19,6,6,1.1857707509881423,1.1857707509881423,196,32.666666666666664,32.666666666666664,ANY_VT,5
0.25,506,7,2,2,0.3952569169960474,0.3952569169960474,74,37.0,37.0,ANY_VT,5
0.3,506,2,1,1,0.1976284584980237,0.1976284584980237,41,41.0,41.0,ANY_VT,5
0.4,506,2,1,1,0.1976284584980237,0.1976284584980237,41,41.0,41.0,ANY_VT,5
0.05,506,245,88,48,17.391304347826086,9.486166007905139,3846,43.70454545454545,80.125,ACC,5
0.08,506,73,24,14,4.743083003952569,2.766798418972332,1051,43.791666666666664,75.07142857142857,ACC,5
0.1,506,17,6,4,1.1857707509881423,0.7905138339920948,167,27.833333333333332,41.75,ACC,5
0.12,506,7,5,3,0.9881422924901185,0.5928853754940712,91,18.2,30.333333333333332,ACC,5
0.15,506,0,0,0,0.0,0.0,0,,,ACC,5
0.2,506,0,0,0,0.0,0.0,0,,,ACC,5
0.25,506,0,0,0,0.0,0.0,0,,,ACC,5
0.3,506,0,0,0,0.0,0.0,0,,,ACC,5
0.4,506,0,0,0,0.0,0.0,0,,,ACC,5
0.05,506,349,127,81,25.09881422924901,16.007905138339922,6135,48.30708661417323,75.74074074074075,SPN,5
0.08,506,128,47,33,9.288537549407115,6.521739130434782,1700,36.170212765957444,51.515151515151516,SPN,5
0.1,506,65,19,15,3.7549407114624507,2.964426877470356,679,35.73684210526316,45.266666666666666,SPN,5
0.12,506,39,9,7,1.7786561264822134,1.383399209486166,411,45.666666666666664,58.714285714285715,SPN,5
0.15,506,17,3,1,0.5928853754940712,0.1976284584980237,168,56.0,168.0,SPN,5
0.2,506,16,3,1,0.5928853754940712,0.1976284584980237,166,55.333333333333336,166.0,SPN,5
0.25,506,16,3,1,0.5928853754940712,0.1976284584980237,166,55.333333333333336,166.0,SPN,5
0.3,506,16,3,1,0.5928853754940712,0.1976284584980237,166,55.333333333333336,166.0,SPN,5
0.4,506,15,3,1,0.5928853754940712,0.1976284584980237,159,53.0,159.0,SPN,5
0.05,506,504,158,158,31.225296442687746,31.225296442687746,10579,66.95569620253164,66.95569620253164,ANY_VT,10
0.08,506,494,156,156,30.8300395256917,30.8300395256917,10315,66.12179487179488,66.12179487179488,ANY_VT,10
0.1,506,486,154,154,30.434782608695652,30.434782608695652,10175,66.07142857142857,66.07142857142857,ANY_VT,10
0.12,506,463,162,162,32.015810276679844,32.015810276679844,9517,58.74691358024691,58.74691358024691,ANY_VT,10
0.15,506,396,162,162,32.015810276679844,32.015810276679844,7534,46.50617283950617,46.50617283950617,ANY_VT,10
0.2,506,251,109,109,21.541501976284586,21.541501976284586,4489,41.18348623853211,41.18348623853211,ANY_VT,10
0.25,506,76,22,22,4.3478260869565215,4.3478260869565215,1251,56.86363636363637,56.86363636363637,ANY_VT,10
0.3,506,36,14,14,2.766798418972332,2.766798418972332,567,40.5,40.5,ANY_VT,10
