seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
64138,2026-04-11 03:52:41,2026-04-11,0,1,-1,,11,2,1,0,0,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_bs15_gae1_no,700000,107,73,438,3000,14.60,0
64139,2026-04-11 03:52:43,2026-04-11,0,2,-1,,11,2,2,0,0,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,438,3000,14.60,0
64140,2026-04-11 03:52:43,2026-04-11,0,3,-1,,11,2,3,1,0,0.3333,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,440,3000,14.67,0
64141,2026-04-11 03:52:45,2026-04-11,0,4,-1,,11,2,4,1,0,0.2500,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,440,3000,14.67,0
64142,2026-04-11 03:52:45,2026-04-11,0,5,-1,,11,2,5,1,0,0.2000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,440,3000,14.67,0
64143,2026-04-11 03:52:46,2026-04-11,0,6,-1,,11,2,6,1,0,0.1667,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,440,3000,14.67,0
64144,2026-04-11 03:52:47,2026-04-11,0,7,-1,,11,2,7,1,1,0.1429,0.1429,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,440,3000,14.67,0
64145,2026-04-11 03:52:48,2026-04-11,0,8,-1,,11,2,8,2,1,0.2500,0.1250,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,442,3000,14.73,0
64146,2026-04-11 03:52:49,2026-04-11,0,9,-1,attack,11,2,9,2,1,0.2222,0.1111,0.2222,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,attack,0,bonus_bs15_gae1_no,700000,107,73,442,3000,14.73,0
64147,2026-04-11 03:53:49,2026-04-11,0,10,-1,attack,11,2,10,3,1,0.3000,0.1000,0.3000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_bs15_gae1_no,700000,107,73,444,3000,14.80,0
