seq,timestamp,r1,r2,r3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,coins_won,coins,spins_remaining,shields,max_shields,bet_multiplier,bet_level,atk_count,stl_count,shd_count,spn_count,acc_count,accum_current,accum_total,accum_mission,accum_delta,accum_pct,gae_segment,gae_last_mission,gae_grand_prize,slot2_r1,slot2_r2,slot2_r3,event_bars,sa_spins,sa_atk,sa_stl,sa_shd,sa_spn,sa_acc,sa_3x_atk,sa_3x_stl,sa_3x_shd,ss_spins,ss_atk,ss_stl,ss_shd,ss_spn,ss_acc,ss_3x_atk,ss_3x_stl,ss_3x_shd,r1_idx,r2_idx,r3_idx,is_valuable,strategy_tier,strategy_score,l1_score,l2_score,scorer_cfg,cm_balance,profile_name,slot_prob_seg
67708,2026-04-13 05:27:47,3,3,3,attack,attack,attack,attack,2,true,0,11105035713801,161185,5,5,1,11,3,0,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,,,1,3,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,false,SMALL,-1,-1,0,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67709,2026-04-13 05:27:55,3,3,3,attack,attack,attack,attack,2,true,0,11105042313801,161184,5,5,1,11,3,0,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,,,2,6,0,0,0,0,2,0,0,2,6,0,0,0,0,2,0,0,0,0,0,false,NORMAL,1,0,1,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67710,2026-04-13 05:27:59,3,3,3,attack,attack,attack,attack,2,true,0,11105064313801,161183,5,5,1,11,3,0,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,,,3,9,0,0,0,0,3,0,0,3,9,0,0,0,0,3,0,0,0,0,0,false,NORMAL,1,0,1,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67711,2026-04-13 05:28:04,3,4,2,attack,steal,goldSack,gold,1,false,100000,11105071013801,161182,5,5,1,11,1,1,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,LongExtraDayReduced,"{""slot_on_"":""32430\/56000@m25""}",4,10,1,0,0,0,3,0,0,4,10,1,0,0,0,3,0,0,3,4,0,false,BIG,5,4,1,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67712,2026-04-13 05:28:05,1,4,4,coin,steal,steal,gold,1,false,25000,11105071038801,161181,5,5,1,11,0,2,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,,,5,10,3,0,0,0,3,0,0,5,10,3,0,0,0,3,0,0,4,4,1,false,MIN,-7,-4,-3,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67713,2026-04-13 05:28:06,4,6,2,steal,spins,goldSack,gold,1,false,100000,11105071138801,161180,5,5,1,11,0,1,0,1,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,,,6,10,4,0,1,0,3,0,0,6,10,4,0,1,0,3,0,0,3,6,4,false,SMALL,-1,1,-2,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67714,2026-04-13 05:28:06,3,1,1,attack,coin,coin,gold,1,false,50000,11105071188801,161179,5,5,1,11,1,0,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,LongExtraDayReduced,,,"{""slot_on_"":""32431\/56000@m25""}",7,11,4,0,1,0,3,0,0,7,11,4,0,1,0,3,0,0,5,1,0,false,NORMAL,2,0,2,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67715,2026-04-13 05:28:07,3,3,3,attack,attack,attack,attack,2,true,0,11105071188801,161178,5,5,1,11,3,0,0,0,0,65166,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,,,,,8,14,4,0,1,0,4,0,0,8,14,4,0,1,0,4,0,0,0,0,0,false,NORMAL,1,-1,2,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67716,2026-04-13 05:28:11,30,2,2,accumulation,goldSack,goldSack,gold,1,false,150000,11105077938801,161177,5,5,1,11,0,0,0,0,1,65167,250000,76,1,26.1,bonus_bs15_gae1_no,107,700000,,,,,9,14,4,0,1,1,4,0,0,9,14,4,0,1,1,4,0,0,3,3,8,false,BIG,7,4,3,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
67717,2026-04-13 05:28:12,6,6,6,spins,spins,spins,spins,5,true,10,11105077938801,161186,5,5,1,11,0,0,0,3,0,65167,250000,76,0,26.1,bonus_bs15_gae1_no,107,700000,LongExtraDayReduced,LongExtraDayReduced,LongExtraDayReduced,"{""slot_on_"":""32436\/56000@m25""}",10,14,4,0,4,1,4,0,0,10,14,4,0,4,1,4,0,0,6,6,6,true,NORMAL,3,0,3,V2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
