seq,timestamp,r1,r2,r3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,coins_won,coins,spins_remaining,shields,max_shields,bet_multiplier,bet_level,atk_count,stl_count,shd_count,spn_count,acc_count,accum_current,accum_total,accum_mission,accum_delta,accum_pct,gae_segment,gae_last_mission,gae_grand_prize,slot2_r1,slot2_r2,slot2_r3,event_bars,sa_spins,sa_atk,sa_stl,sa_shd,sa_spn,sa_acc,sa_3x_atk,sa_3x_stl,sa_3x_shd,ss_spins,ss_atk,ss_stl,ss_shd,ss_spn,ss_acc,ss_3x_atk,ss_3x_stl,ss_3x_shd,r1_idx,r2_idx,r3_idx,is_valuable,strategy_tier,strategy_score,l1_score,l2_score,scorer_cfg,full_strip1,full_strip2,full_strip3,repl_map1,repl_map2,repl_map3,cm_balance,profile_name,slot_prob_seg
70310,2026-04-14 05:45:39,1,1,4,coin,coin,steal,gold,1,false,20000000,503562312681,104193,5,5,400,10,0,1,0,0,0,5142,20000,42,0,25.7,bonus_bs15_gae1_no,107,700000,,,,,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,1,false,SMALL,-2,-2,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70311,2026-04-14 05:45:41,4,4,4,steal,steal,steal,steal,4,true,0,503562312681,103793,5,5,400,10,0,3,0,0,0,5142,20000,42,0,25.7,bonus_bs15_gae1_no,107,700000,,,,,2,0,4,0,0,0,0,1,0,2,0,4,0,0,0,0,1,0,4,4,4,false,MIN,-4,-4,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70312,2026-04-14 05:45:47,3,6,2,attack,spins,goldSack,gold,1,false,40000000,574032712681,103393,5,5,400,10,1,0,0,1,0,5142,20000,42,0,25.7,bonus_bs15_gae1_no,107,700000,,,,,3,1,4,0,1,0,0,1,0,3,1,4,0,1,0,0,1,0,3,6,0,false,NORMAL,0,2,-2,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70313,2026-04-14 05:45:48,3,6,2,attack,spins,goldSack,gold,1,false,40000000,574072712681,102993,5,5,400,10,1,0,0,1,0,5142,20000,42,0,25.7,bonus_bs15_gae1_no,107,700000,,,,"{""68171e9b"":""2891\/3500@m7""}",4,2,4,0,2,0,0,1,0,4,2,4,0,2,0,0,1,0,3,6,0,false,BIG,4,5,-1,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70314,2026-04-14 05:45:49,30,2,2,accumulation,goldSack,goldSack,gold,1,false,60000000,574132712681,102593,5,5,400,10,0,0,0,0,1,5542,20000,42,400,27.7,bonus_bs15_gae1_no,107,700000,,,,,5,2,4,0,2,1,0,1,0,5,2,4,0,2,1,0,1,0,3,7,8,false,BIG,7,7,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70315,2026-04-14 05:45:50,2,2,2,goldSack,goldSack,goldSack,gold,1,true,800000000,574932712681,102193,5,5,400,10,0,0,0,0,0,5542,20000,42,0,27.7,bonus_bs15_gae1_no,107,700000,,,,,6,2,4,0,2,1,0,1,0,6,2,4,0,2,1,0,1,0,3,3,7,false,NORMAL,1,1,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70316,2026-04-14 05:45:51,3,3,1,attack,attack,coin,gold,1,false,10000000,574942712681,101793,5,5,400,10,2,0,0,0,0,5542,20000,42,0,27.7,bonus_bs15_gae1_no,107,700000,,,,"{""820004c2"":""1190\/2500@m7""}",7,4,4,0,2,1,0,1,0,7,4,4,0,2,1,0,1,0,1,0,0,false,SMALL,-1,-1,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70317,2026-04-14 05:45:52,30,30,1,accumulation,accumulation,coin,gold,1,false,10000000,574952712681,101393,5,5,400,10,0,0,0,0,2,6342,20000,42,800,31.7,bonus_bs15_gae1_no,107,700000,,,,,8,4,4,0,2,3,0,1,0,8,4,4,0,2,3,0,1,0,5,8,8,false,NORMAL,0,0,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70318,2026-04-14 05:45:53,2,2,2,goldSack,goldSack,goldSack,gold,1,true,800000000,575752712681,100993,5,5,400,10,0,0,0,0,0,6342,20000,42,0,31.7,bonus_bs15_gae1_no,107,700000,,,,,9,4,4,0,2,3,0,1,0,9,4,4,0,2,3,0,1,0,3,7,7,false,NORMAL,3,3,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
70319,2026-04-14 05:45:54,30,2,2,accumulation,goldSack,goldSack,gold,1,false,60000000,575812712681,100593,5,5,400,10,0,0,0,0,1,6742,20000,42,400,33.7,bonus_bs15_gae1_no,107,700000,,,,,10,4,4,0,2,4,0,1,0,10,4,4,0,2,4,0,1,0,3,7,8,false,MAX,8,8,0,V2,,,,,,,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
