sn,csv_seq,r1_idx,r2_idx,r3_idx,s1,s2,s3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,is_valuable,se_hash,bet_state
65215,65216,5,1,0,3,1,1,attack,coin,coin,gold,1,False,False,9b0002fd,3
65216,65217,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65217,65218,4,4,1,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65218,65219,1,1,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65219,65220,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65220,65221,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65222,65223,7,6,4,4,6,2,steal,spins,goldSack,gold,1,False,False,9b0002fd,3
65224,65225,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65226,65227,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65227,65228,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65228,65229,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65230,65231,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65232,65233,6,6,1,1,6,6,coin,spins,spins,gold,1,False,False,9b0002fd,3
65233,65234,3,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65236,65237,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65237,65238,5,1,0,3,1,1,attack,coin,coin,gold,1,False,False,9b0002fd,3
65239,65240,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65240,65241,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65241,65242,3,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65242,65243,3,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65243,65244,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65244,65245,3,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65245,65246,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65247,65248,7,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65248,65249,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65249,65250,6,6,6,6,6,6,spins,spins,spins,spins,5,True,True,9b0002fd,3
65250,65251,2,1,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65251,65252,5,1,5,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65252,65253,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65253,65254,4,4,1,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
