seq,timestamp,r1,r2,r3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,coins_won,coins,spins_remaining,shields,max_shields,bet_multiplier,bet_level,atk_count,stl_count,shd_count,spn_count,acc_count,accum_current,accum_total,accum_mission,accum_delta,accum_pct,gae_segment,gae_last_mission,gae_grand_prize,slot2_r1,slot2_r2,slot2_r3,event_bars,sa_spins,sa_atk,sa_stl,sa_shd,sa_spn,sa_acc,sa_3x_atk,sa_3x_stl,sa_3x_shd,ss_spins,ss_atk,ss_stl,ss_shd,ss_spn,ss_acc,ss_3x_atk,ss_3x_stl,ss_3x_shd,r1_idx,r2_idx,r3_idx,is_valuable,strategy_tier,strategy_score,l1_score,l2_score,scorer_cfg,mem_sym1,mem_sym2,mem_sym3,res_sym1,res_sym2,res_sym3,cm_balance,profile_name,slot_prob_seg
74665,2026-04-20 19:26:01,2,2,2,goldSack,goldSack,goldSack,gold,1,true,2000000,25682281289194,33710,5,5,1,8,0,0,0,0,0,174,225,11,0,77.3,bonus_as10_gae1_no,107,700000,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,false,MAX,4,2,2,V1,3,1,5,2,2,2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74666,2026-04-20 19:26:01,3,3,2,attack,attack,goldSack,gold,1,false,100000,25682281489194,33709,5,5,1,8,2,0,0,0,0,174,225,11,0,77.3,bonus_as10_gae1_no,107,700000,,,,,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,false,BIG,2,0,2,V1,3,1,5,3,3,2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74667,2026-04-20 19:26:02,30,30,1,accumulation,accumulation,coin,gold,1,false,25000,25682281539194,33708,5,5,1,8,0,0,0,0,2,176,225,11,2,78.2,bonus_as10_gae1_no,107,700000,,,,,3,2,0,0,0,2,0,0,0,3,2,0,0,0,2,0,0,0,1,8,8,false,BIG,3,0,3,V1,3,1,5,30,30,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74668,2026-04-20 19:26:03,1,1,4,coin,coin,steal,gold,1,false,50000,25682281639194,33707,5,5,1,8,0,1,0,0,0,176,225,11,0,78.2,bonus_as10_gae1_no,107,700000,,,,,4,2,1,0,0,2,0,0,0,4,2,1,0,0,2,0,0,0,4,1,5,false,BIG,3,0,3,V1,3,1,5,1,1,4,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74669,2026-04-20 19:26:04,3,6,2,attack,spins,goldSack,gold,1,false,100000,25682281839194,33706,5,5,1,8,1,0,0,1,0,176,225,11,0,78.2,bonus_as10_gae1_no,107,700000,,,,,5,3,1,0,1,2,0,0,0,5,3,1,0,1,2,0,0,0,3,6,0,false,MAX,6,1,5,V1,3,1,5,3,6,2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74670,2026-04-20 19:26:05,30,30,1,accumulation,accumulation,coin,gold,1,false,25000,25682281889194,33705,5,5,1,8,0,0,0,0,2,178,225,11,2,79.1,bonus_as10_gae1_no,107,700000,,,,,6,3,1,0,1,4,0,0,0,6,3,1,0,1,4,0,0,0,5,8,8,false,MAX,4,-1,5,V1,3,1,5,30,30,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74671,2026-04-20 19:26:06,1,1,1,coin,coin,coin,gold,1,true,250000,25682282389194,33704,5,5,1,8,0,0,0,0,0,178,225,11,0,79.1,bonus_as10_gae1_no,107,700000,,,,,7,3,1,0,1,4,0,0,0,7,3,1,0,1,4,0,0,0,1,1,5,false,MAX,5,0,5,V1,3,1,5,1,1,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74672,2026-04-20 19:26:07,3,6,2,attack,spins,goldSack,gold,1,false,100000,25682282589194,33703,5,5,1,8,1,0,0,1,0,178,225,11,0,79.1,bonus_as10_gae1_no,107,700000,,,,,8,4,1,0,2,4,0,0,0,8,4,1,0,2,4,0,0,0,3,6,0,false,MAX,6,1,5,V1,3,1,5,3,6,2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74673,2026-04-20 19:26:07,5,5,5,shield,shield,shield,shield,3,true,1,25682282589194,33703,5,5,1,8,0,0,3,0,0,178,225,11,0,79.1,bonus_as10_gae1_no,107,700000,,,,,9,4,1,3,2,4,0,0,1,9,4,1,3,2,4,0,0,1,2,2,2,false,MAX,4,-1,5,V1,3,1,5,5,5,5,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
74674,2026-04-20 19:26:09,1,1,1,coin,coin,coin,gold,1,true,250000,25682283089194,33702,5,5,1,8,0,0,0,0,0,178,225,11,0,79.1,bonus_as10_gae1_no,107,700000,,,,,10,4,1,3,2,4,0,0,1,10,4,1,3,2,4,0,0,1,5,5,1,false,SMALL,-1,-3,2,V1,3,1,5,1,1,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_var_a
