seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
80990,2026-04-08 03:39:56,2026-04-08,0,1,-1,,11,1,1,0,0,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_as10_gae3_no,2575000,100,47,63489,225000,28.22,0
80991,2026-04-08 03:39:57,2026-04-08,0,2,-1,,11,1,2,0,2,0.0000,1.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63489,225000,28.22,0
80992,2026-04-08 03:39:58,2026-04-08,0,3,-1,,11,1,3,0,2,0.0000,0.6667,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63489,225000,28.22,0
80993,2026-04-08 03:40:00,2026-04-08,0,4,-1,,11,1,4,0,3,0.0000,0.7500,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63489,225000,28.22,0
80994,2026-04-08 03:40:01,2026-04-08,0,5,-1,,11,1,5,0,3,0.0000,0.6000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63489,225000,28.22,0
80995,2026-04-08 03:40:03,2026-04-08,0,6,-1,attack,11,1,6,0,3,0.0000,0.5000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,attack,0,bonus_as10_gae3_no,2575000,100,47,63489,225000,28.22,0
80996,2026-04-08 03:40:26,2026-04-08,0,7,-1,attack,11,1,7,1,3,0.1429,0.4286,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63490,225000,28.22,0
80997,2026-04-08 03:40:27,2026-04-08,0,8,-1,attack,11,1,8,1,3,0.1250,0.3750,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63490,225000,28.22,0
80998,2026-04-08 03:40:28,2026-04-08,0,9,-1,attack,11,1,9,3,3,0.3333,0.3333,0.3333,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63492,225000,28.22,0
80999,2026-04-08 03:40:29,2026-04-08,0,10,-1,attack,11,1,10,3,3,0.3000,0.3000,0.3000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63492,225000,28.22,0
81000,2026-04-08 03:40:30,2026-04-08,0,11,-1,steal,11,1,11,3,3,0.2727,0.2727,0.2727,0.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,steal,0,bonus_as10_gae3_no,2575000,100,47,63492,225000,28.22,0
81001,2026-04-08 03:50:11,2026-04-08,0,12,-1,steal,11,1,12,3,4,0.2500,0.3333,0.2500,0.2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae3_no,2575000,100,47,63492,225000,28.22,0
