seq,timestamp,session_date,gap_idx,spin_in_gap,prev_gap_length,prev_real_triple,bet_level,bet_mult,sa_spins,sa_acc,sa_spn,acc_rate,spn_rate,slope_8,slope_10,r01_combo,r02_ideal_ra,r03_ra_t130,r04_flat_150_32,r05_sml_l120_g32,r06_sml_l120_g30,r07_sml_s100_l120_m180,r08_sml_s100_l120_m110,r09_sml_s100_l130_m130,r10_sml_s50_l130_m150,r11_sml_s50_l130_s80,r12_shield_110,r13_shield_120,r14_shield_130,r15_shield_140,r16_flat_150_37,rules_count,rules_bitmask,phase,cooldown_remaining,consec_bets,gap_bets_so_far,is_triple,triple_type,target_caught,gae_segment,gae_grand_prize,gae_last_mission,accum_mission,accum_current,accum_total,accum_pct,accum_delta
64623,2026-04-09 05:01:54,2026-04-09,0,1,-1,,9,1,1,0,0,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64624,2026-04-09 05:01:55,2026-04-09,0,2,-1,,9,1,2,0,1,0.0000,0.5000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64625,2026-04-09 05:23:16,2026-04-09,0,3,-1,attack,9,1,3,0,1,0.0000,0.3333,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,attack,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64626,2026-04-09 05:23:21,2026-04-09,0,4,-1,attack,9,1,4,0,2,0.0000,0.5000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64627,2026-04-09 05:23:22,2026-04-09,0,5,-1,attack,9,1,5,0,4,0.0000,0.8000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64628,2026-04-09 05:23:23,2026-04-09,0,6,-1,attack,9,1,6,0,4,0.0000,0.6667,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64629,2026-04-09 05:23:24,2026-04-09,0,7,-1,attack,9,1,7,0,4,0.0000,0.5714,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64630,2026-04-09 05:23:25,2026-04-09,0,8,-1,attack,9,1,8,0,5,0.0000,0.6250,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3159,20000,15.79,0
64631,2026-04-09 05:23:26,2026-04-09,0,9,-1,attack,9,1,9,1,5,0.1111,0.5556,0.1111,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3160,20000,15.80,0
64632,2026-04-09 05:23:27,2026-04-09,0,10,-1,attack,9,1,10,1,5,0.1000,0.5000,0.1000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,1,,0,bonus_as10_gae1_no,700000,107,42,3160,20000,15.80,0
64633,2026-04-09 05:23:28,2026-04-09,0,11,-1,attack,9,1,11,1,5,0.0909,0.4545,0.0909,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3160,20000,15.80,0
64634,2026-04-09 05:23:29,2026-04-09,0,12,-1,attack,9,1,12,3,5,0.2500,0.4167,0.2500,0.2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,WAIT,0,0,0,0,,0,bonus_as10_gae1_no,700000,107,42,3162,20000,15.81,0
