seq,timestamp,r1,r2,r3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,coins_won,coins,spins_remaining,shields,max_shields,bet_multiplier,bet_level,atk_count,stl_count,shd_count,spn_count,acc_count,accum_current,accum_total,accum_mission,accum_delta,accum_pct,gae_segment,gae_last_mission,gae_grand_prize,slot2_r1,slot2_r2,slot2_r3,event_bars,sa_spins,sa_atk,sa_stl,sa_shd,sa_spn,sa_acc,sa_3x_atk,sa_3x_stl,sa_3x_shd,ss_spins,ss_atk,ss_stl,ss_shd,ss_spn,ss_acc,ss_3x_atk,ss_3x_stl,ss_3x_shd
63259,2026-04-06 17:35:23,1,1,1,coin,coin,coin,gold,1,true,250000,50101615998325,46038,3,5,1,8,0,0,0,0,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,GCEaster26,GCEaster26,,"{""slot_on_"":""6725\/35000@m17""}",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63260,2026-04-06 17:35:25,5,5,5,shield,shield,shield,shield,3,true,1,50101615998325,46037,4,5,1,8,0,0,3,0,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,,,,,2,0,0,3,0,0,0,0,1,2,0,0,3,0,0,0,0,1
63261,2026-04-06 17:35:29,4,6,2,steal,spins,goldSack,gold,1,false,100000,50101616098325,46036,4,5,1,8,0,1,0,1,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,,,,,3,0,1,3,1,0,0,0,1,3,0,1,3,1,0,0,0,1
63262,2026-04-06 17:35:30,1,4,4,coin,steal,steal,gold,1,false,25000,50101616123325,46035,4,5,1,8,0,2,0,0,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,,,,,4,0,3,3,1,0,0,0,1,4,0,3,3,1,0,0,0,1
63263,2026-04-06 17:35:31,5,2,2,shield,goldSack,goldSack,gold,1,false,150000,50101616273325,46034,4,5,1,8,0,0,1,0,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,,,,,5,0,3,4,1,0,0,0,1,5,0,3,4,1,0,0,0,1
63264,2026-04-06 17:35:31,1,1,1,coin,coin,coin,gold,1,true,250000,50101616523325,46033,4,5,1,8,0,0,0,0,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,,,GCEaster26,"{""slot_on_"":""6726\/35000@m17""}",6,0,3,4,1,0,0,0,1,6,0,3,4,1,0,0,0,1
63265,2026-04-06 17:35:32,3,3,2,attack,attack,goldSack,gold,1,false,100000,50101616623325,46032,4,5,1,8,2,0,0,0,0,453,500,15,0,90.6,bonus_as10_gae1_no,107,700000,GCEaster26,,,"{""slot_on_"":""6727\/35000@m17""}",7,2,3,4,1,0,0,0,1,7,2,3,4,1,0,0,0,1
63266,2026-04-06 17:35:33,30,2,2,accumulation,goldSack,goldSack,gold,1,false,150000,50101616773325,46031,4,5,1,8,0,0,0,0,1,454,500,15,1,90.8,bonus_as10_gae1_no,107,700000,,,,,8,2,3,4,1,1,0,0,1,8,2,3,4,1,1,0,0,1
63267,2026-04-06 17:35:34,4,6,2,steal,spins,goldSack,gold,1,false,100000,50101616873325,46030,4,5,1,8,0,1,0,1,0,454,500,15,0,90.8,bonus_as10_gae1_no,107,700000,,,,,9,2,4,4,2,1,0,0,1,9,2,4,4,2,1,0,0,1
63268,2026-04-06 17:35:35,1,1,1,coin,coin,coin,gold,1,true,250000,50101617123325,46029,4,5,1,8,0,0,0,0,0,454,500,15,0,90.8,bonus_as10_gae1_no,107,700000,,,,"{""4fdd0917"":""2\/150@m0""}",10,2,4,4,2,1,0,0,1,10,2,4,4,2,1,0,0,1
63269,2026-04-06 17:35:36,1,1,1,coin,coin,coin,gold,1,true,250000,50101617373325,46028,4,5,1,8,0,0,0,0,0,454,500,15,0,90.8,bonus_as10_gae1_no,107,700000,,,GCEaster26,"{""slot_on_"":""6728\/35000@m17""}",11,2,4,4,2,1,0,0,1,11,2,4,4,2,1,0,0,1
63270,2026-04-06 17:35:36,1,4,6,coin,steal,spins,gold,1,false,25000,50101617398325,46027,4,5,1,8,0,1,0,1,0,454,500,15,0,90.8,bonus_as10_gae1_no,107,700000,,,,"{""f9d0b53c"":""2\/350@m0""}",12,2,5,4,3,1,0,0,1,12,2,5,4,3,1,0,0,1
63271,2026-04-06 17:35:37,3,4,2,attack,steal,goldSack,gold,1,false,100000,50101617498325,46026,4,5,1,8,1,1,0,0,0,454,500,15,0,90.8,bonus_as10_gae1_no,107,700000,,,,,13,3,6,4,3,1,0,0,1,13,3,6,4,3,1,0,0,1
