seq,timestamp,r1,r2,r3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,coins_won,coins,spins_remaining,shields,max_shields,bet_multiplier,bet_level,atk_count,stl_count,shd_count,spn_count,acc_count,accum_current,accum_total,accum_mission,accum_delta,accum_pct,gae_segment,gae_last_mission,gae_grand_prize,slot2_r1,slot2_r2,slot2_r3,event_bars,sa_spins,sa_atk,sa_stl,sa_shd,sa_spn,sa_acc,sa_3x_atk,sa_3x_stl,sa_3x_shd,ss_spins,ss_atk,ss_stl,ss_shd,ss_spn,ss_acc,ss_3x_atk,ss_3x_stl,ss_3x_shd
64050,2026-04-08 15:50:14,1,4,6,coin,steal,spins,gold,1,false,25000,49368633053351,58150,4,5,1,9,0,1,0,1,0,1144,10000,37,0,11.4,,107,700000,,,,"{""6cad4489"":""24\/1800@m6""}",1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
64051,2026-04-08 15:50:15,1,4,6,coin,steal,spins,gold,1,false,25000,49368633078351,58149,4,5,1,9,0,1,0,1,0,1144,10000,37,0,11.4,,107,700000,,,,,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0
64052,2026-04-08 15:50:16,3,1,1,attack,coin,coin,gold,1,false,50000,49368633128351,58148,4,5,1,9,1,0,0,0,0,1144,10000,37,0,11.4,,107,700000,,,,,3,1,2,0,2,0,0,0,0,3,1,2,0,2,0,0,0,0
64053,2026-04-08 15:50:16,3,3,3,attack,attack,attack,attack,2,true,0,49368633128351,58147,4,5,1,9,3,0,0,0,0,1144,10000,37,0,11.4,,107,700000,,,,,4,4,2,0,2,0,1,0,0,4,4,2,0,2,0,1,0,0
64054,2026-04-08 15:50:44,1,1,1,coin,coin,coin,gold,1,true,250000,49368641958351,58146,4,5,1,9,0,0,0,0,0,1144,10000,37,0,11.4,,107,700000,,,,,5,4,2,0,2,0,1,0,0,5,4,2,0,2,0,1,0,0
64055,2026-04-08 15:50:45,30,30,2,accumulation,accumulation,goldSack,gold,1,false,100000,49368642058351,58145,4,5,1,9,0,0,0,0,2,1146,10000,37,2,11.5,,107,700000,,,,,6,4,2,0,2,2,1,0,0,6,4,2,0,2,2,1,0,0
64056,2026-04-08 15:50:46,1,1,1,coin,coin,coin,gold,1,true,250000,49368642308351,58144,4,5,1,9,0,0,0,0,0,1146,10000,37,0,11.5,,107,700000,,,,,7,4,2,0,2,2,1,0,0,7,4,2,0,2,2,1,0,0
64057,2026-04-08 15:50:46,1,4,6,coin,steal,spins,gold,1,false,25000,49368642333351,58143,4,5,1,9,0,1,0,1,0,1146,10000,37,0,11.5,,107,700000,,,,,8,4,3,0,3,2,1,0,0,8,4,3,0,3,2,1,0,0
64058,2026-04-08 15:50:48,3,4,2,attack,steal,goldSack,gold,1,false,100000,49368642433351,58142,4,5,1,9,1,1,0,0,0,1146,10000,37,0,11.5,,107,700000,,,,"{""4fdd0917"":""205\/500@m15""}",9,5,4,0,3,2,1,0,0,9,5,4,0,3,2,1,0,0
64059,2026-04-08 15:50:49,1,4,4,coin,steal,steal,gold,1,false,25000,49368642458351,58141,4,5,1,9,0,2,0,0,0,1146,10000,37,0,11.5,,107,700000,,,,,10,5,6,0,3,2,1,0,0,10,5,6,0,3,2,1,0,0
64060,2026-04-08 15:50:49,1,1,6,coin,coin,spins,gold,1,false,50000,49368642508351,58140,4,5,1,9,0,0,0,1,0,1146,10000,37,0,11.5,,107,700000,,,,"{""6cad4489"":""26\/1800@m6""}",11,5,6,0,4,2,1,0,0,11,5,6,0,4,2,1,0,0
64061,2026-04-08 15:50:50,3,4,2,attack,steal,goldSack,gold,1,false,100000,49368642608351,58139,4,5,1,9,1,1,0,0,0,1146,10000,37,0,11.5,,107,700000,,,,,12,6,7,0,4,2,1,0,0,12,6,7,0,4,2,1,0,0
64062,2026-04-08 15:50:51,4,4,4,steal,steal,steal,steal,4,true,0,49368642608351,58138,4,5,1,9,0,3,0,0,0,1146,10000,37,0,11.5,,107,700000,,,,,13,6,10,0,4,2,1,1,0,13,6,10,0,4,2,1,1,0
64063,2026-04-08 15:51:44,30,2,2,accumulation,goldSack,goldSack,gold,1,false,150000,49368874346351,58137,4,5,1,9,0,0,0,0,1,1147,10000,37,1,11.5,,107,700000,,,,,14,6,10,0,4,3,1,1,0,14,6,10,0,4,3,1,1,0
64064,2026-04-08 15:51:45,2,2,2,goldSack,goldSack,goldSack,gold,1,true,2000000,49368876346351,58136,4,5,1,9,0,0,0,0,0,1147,10000,37,0,11.5,,107,700000,,,,,15,6,10,0,4,3,1,1,0,15,6,10,0,4,3,1,1,0
64065,2026-04-08 15:51:47,1,6,6,coin,spins,spins,gold,1,false,25000,49368876371351,58135,4,5,1,9,0,0,0,2,0,1147,10000,37,0,11.5,,107,700000,,,,,16,6,10,0,6,3,1,1,0,16,6,10,0,6,3,1,1,0
64066,2026-04-08 15:51:48,30,30,1,accumulation,accumulation,coin,gold,1,false,25000,49368876396351,58134,4,5,1,9,0,0,0,0,2,1149,10000,37,2,11.5,,107,700000,,,,,17,6,10,0,6,5,1,1,0,17,6,10,0,6,5,1,1,0
