seq,timestamp,r1,r2,r3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,coins_won,coins,spins_remaining,shields,max_shields,bet_multiplier,bet_level,atk_count,stl_count,shd_count,spn_count,acc_count,accum_current,accum_total,accum_mission,accum_delta,accum_pct,gae_segment,gae_last_mission,gae_grand_prize,slot2_r1,slot2_r2,slot2_r3,event_bars,sa_spins,sa_atk,sa_stl,sa_shd,sa_spn,sa_acc,sa_3x_atk,sa_3x_stl,sa_3x_shd,ss_spins,ss_atk,ss_stl,ss_shd,ss_spn,ss_acc,ss_3x_atk,ss_3x_stl,ss_3x_shd,r1_idx,r2_idx,r3_idx,is_valuable,strategy_tier,strategy_score,l1_score,l2_score,scorer_cfg,mem_sym1,mem_sym2,mem_sym3,res_sym1,res_sym2,res_sym3,cm_balance,profile_name,slot_prob_seg
86624,2026-04-26 19:46:08,3,3,3,attack,attack,attack,attack,2,true,0,26157562942861,215124,5,5,1,11,3,0,0,0,0,214333,400000,90,0,53.6,,107,700000,,LongExtraDayReduced,,"{""slot_on_"":""4084\/80000@m33""}",1,3,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,false,SMALL,-2,-3,1,V2,3,1,5,3,3,3,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86625,2026-04-26 19:46:14,4,6,2,steal,spins,goldSack,gold,1,false,100000,26157573602861,215123,5,5,1,11,0,1,0,1,0,214333,400000,90,0,53.6,,107,700000,,,,,2,3,1,0,1,0,1,0,0,2,3,1,0,1,0,1,0,0,3,6,4,false,NORMAL,2,1,1,V2,3,1,5,4,6,2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86626,2026-04-26 19:46:15,1,4,6,coin,steal,spins,gold,1,false,25000,26157573627861,215122,5,5,1,11,0,1,0,1,0,214333,400000,90,0,53.6,,107,700000,,,,,3,3,2,0,2,0,1,0,0,3,3,2,0,2,0,1,0,0,6,4,5,false,BIG,5,4,1,V2,3,1,5,1,4,6,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86627,2026-04-26 19:46:16,3,1,5,attack,coin,shield,gold,1,false,25000,26157573652861,215121,5,5,1,11,1,0,1,0,0,214333,400000,90,0,53.6,,107,700000,,,,,4,4,2,1,2,0,1,0,0,4,4,2,1,2,0,1,0,0,2,5,0,false,NORMAL,1,-1,2,V2,3,1,5,3,1,5,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86628,2026-04-26 19:46:17,5,5,5,shield,shield,shield,shield,3,true,1,26157573652861,215121,5,5,1,11,0,0,3,0,0,214333,400000,90,0,53.6,,107,700000,,,LongExtraDayReduced,"{""slot_on_"":""4085\/80000@m33""}",5,4,2,4,2,0,1,0,1,5,4,2,4,2,0,1,0,1,2,2,2,false,NORMAL,1,-1,2,V2,3,1,5,5,5,5,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86629,2026-04-26 19:46:18,1,4,4,coin,steal,steal,gold,1,false,25000,26157573677861,215120,5,5,1,11,0,2,0,0,0,214333,400000,90,0,53.6,,107,700000,,,,,6,4,4,4,2,0,1,0,1,6,4,4,4,2,0,1,0,1,4,4,5,false,NORMAL,0,-2,2,V2,3,1,5,1,4,4,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86630,2026-04-26 19:46:19,30,30,1,accumulation,accumulation,coin,gold,1,false,25000,26157573702861,215119,5,5,1,11,0,0,0,0,2,214335,400000,90,2,53.6,,107,700000,,,,,7,4,4,4,2,2,1,0,1,7,4,4,4,2,2,1,0,1,5,8,8,false,NORMAL,2,0,2,V2,3,1,5,30,30,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86631,2026-04-26 19:46:20,30,30,1,accumulation,accumulation,coin,gold,1,false,25000,26157573727861,215118,5,5,1,11,0,0,0,0,2,214337,400000,90,2,53.6,,107,700000,,,LongExtraDayReduced,"{""slot_on_"":""4086\/80000@m33""}",8,4,4,4,2,4,1,0,1,8,4,4,4,2,4,1,0,1,5,8,8,false,BIG,4,2,2,V2,3,1,5,30,30,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86632,2026-04-26 19:46:22,4,4,4,steal,steal,steal,steal,4,true,0,26157573727861,215117,5,5,1,11,0,3,0,0,0,214337,400000,90,0,53.6,,107,700000,,,,,9,4,7,4,2,4,1,1,1,9,4,7,4,2,4,1,1,1,4,4,4,false,NORMAL,0,-5,5,V2,3,1,5,4,4,4,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86633,2026-04-26 19:46:28,1,4,6,coin,steal,spins,gold,1,false,25000,26158187230312,215116,5,5,1,11,0,1,0,1,0,214337,400000,90,0,53.6,,107,700000,,,,,10,4,8,4,3,4,1,1,1,10,4,8,4,3,4,1,1,1,6,4,1,false,SMALL,-1,-3,2,V2,3,1,5,1,4,6,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86634,2026-04-26 19:46:29,1,4,4,coin,steal,steal,gold,1,false,25000,26158187255312,215115,5,5,1,11,0,2,0,0,0,214337,400000,90,0,53.6,,107,700000,LongExtraDayReduced,,,"{""slot_on_"":""4087\/80000@m33""}",11,4,10,4,3,4,1,1,1,11,4,10,4,3,4,1,1,1,-1,-1,-1,false,,0,0,0,,-1,-1,-1,-1,-1,-1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86635,2026-04-26 19:46:30,3,1,1,attack,coin,coin,gold,1,false,50000,26158187305312,215114,5,5,1,11,1,0,0,0,0,214337,400000,90,0,53.6,,107,700000,,LongExtraDayReduced,,"{""slot_on_"":""4088\/80000@m33""}",12,5,10,4,3,4,1,1,1,12,5,10,4,3,4,1,1,1,1,1,0,false,NORMAL,3,1,2,V2,3,1,5,3,1,1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86636,2026-04-26 19:46:31,30,2,2,accumulation,goldSack,goldSack,gold,1,false,150000,26158187455312,215113,5,5,1,11,0,0,0,0,1,214338,400000,90,1,53.6,,107,700000,,,,,13,5,10,4,3,5,1,1,1,13,5,10,4,3,5,1,1,1,3,3,8,false,BIG,4,4,0,V2,3,1,5,30,2,2,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86637,2026-04-26 19:46:31,1,6,6,coin,spins,spins,gold,1,false,25000,26158187480312,215112,5,5,1,11,0,0,0,2,0,214338,400000,90,0,53.6,,107,700000,,,,,14,5,10,4,5,5,1,1,1,14,5,10,4,5,5,1,1,1,6,6,1,false,MIN,-3,-3,0,V2,3,1,5,1,6,6,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
86638,2026-04-26 19:46:32,30,2,2,accumulation,goldSack,goldSack,gold,1,false,150000,26158187630312,215111,5,5,1,11,0,0,0,0,1,214339,400000,90,1,53.6,,107,700000,,,,,15,5,10,4,5,6,1,1,1,15,5,10,4,5,6,1,1,1,-1,-1,-1,false,,0,0,0,,-1,-1,-1,-1,-1,-1,0,3_5_fbios_PABUnityIAPiOSDefensiveBase,segment_tag_core_slot_prob_nu_29_06_base1
